name	"RBS 1032"
host	"<a href='http://goo.gl/NN9wNv'>SDSS J114726.69+494257.8</a>"
citations	"<a href='http://adsabs.harvard.edu/abs/2014ApJ...792L..29M'>Maksym et al. 2014</a>*&Dagger;"
instruments	"ROSAT, XMM-Newton"
redshift	"0.026"
claimedtype	"TDE"
notes	""
