name	"SDSS J0159"
host	"<a href='http://goo.gl/FImyLh'>SDSS J015957.64+003310.4</a>"
citations	"<a href='http://adsabs.harvard.edu/abs/2015MNRAS.452...69M'>Merloni et al. 2015</a>*&Dagger;"
instruments	"SDSS, BOSS, ROSAT, XMM-Newton, Chandra, GROND"
redshift	"0.31167"
claimedtype	"TDE"
notes	"Very long duration (~decade)"
