# SN2010jl magnitudes from Swift UVOT                                                        
# generated Fri Oct 2 23:10:43 CDT 2015 using version 2015.1                                         
# of Peter Brown's photometry pipeline                                                      
# and version Swift_Rel4.2(Bld31)_25Nov2013 of HEASOFT                                                      
#                                                                                         
# Data comes from the Swift Data Center                                                   
# A 5 arcsec aperture is used to measure the counts for the coincidence loss correction,  
# a 3 or 5 arcsec source aperture (based on the error) was used for the aperture photometry 
# subtracting off the galaxy count rate in a template image  (if available),              
# and applying an aperture correction as appropriate (based on average psf in Swift CALDB)
# and zeropoints from Breeveld et al. (2011) which update Poole et al. (2008)             
# including a time-dependent sensitivity loss                                             
# to put the magnitudes on the UVOT photometric system described in that paper.   
# The sensitivity correction has been updated based on the 2015 redetermination.        
#
#  Brown, P. J., Holland, S. T., Immler, S., et al. 2009, ApJ, 137, 4517
#  Brown, P. J., et al. 2014, Ap&SS, submitted
#  Breeveld, A. A., Landsman, W., Holland, S. T., et al. 2011, in AIP Conf. Proc. 1358,   
#     Gamma-Ray Bursts 2010, ed. J. E. McEnergy, J. L. Racusin, & N. Gehrels                 
#     (Melville, NY: AIP), 373; arXiv:1102.4717                                              
#  Poole, T. S., Breeveld, A. A., Page, M. J., et al. 2008, MNRAS, 383, 627
#                                                                                         
#                                                                                           
# Original reference for Swift observations:                                        
# Ofek, E. et al. 2013 arXiv1307.2247#                                                                                    
# If necessary, the data have been reanalyzed with the revised zeropoints             
# and sensitivity corrections of Breeveld et al. 2011.                                
#                                                                                           
# The underlying galaxy had the following count rates                                       
# in a 5 arcsec aperture at the source position  
# (missing filters list 0 but used a background region similar to the SN ):                 
# Galaxy count rates in 5" aperture
#                                                                                           
# There are no known issues with this photometry.                                           
#                                                                                           
# Filter MJD[days] Mag MagErr 3SigMagLim 0.98SatLim[mag] Rate[c/s] RateErr[c/s] Ap[arcsec] Frametime[s] Exp[s] Telapse[s]
#                                                                                           
UVW2     55505.0960  14.114   0.052  19.111  11.123  20.248   0.966  5.0  0.0110     679.13     690.01
UVW2     55505.2667  14.146   0.053  18.913  11.122  19.653   0.962  5.0  0.0110     464.50   17441.38
UVW2     55505.9358  14.145   0.057  18.409  11.122  19.688   1.026  5.0  0.0110     195.40    5882.77
UVW2     55506.0883  14.098   0.053  18.740  11.117  20.544   1.003  5.0  0.0110     314.73     319.78
UVW2     55507.0672  14.272   0.052  19.329  11.119  17.509   0.847  5.0  0.0110     871.44    6142.46
UVW2     55508.2053  14.342   0.052  19.523  11.114  16.414   0.785  5.0  0.0110    1050.21    6293.07
UVW2     55509.0341  14.160   0.053  18.908  11.119  19.403   0.949  5.0  0.0110     425.95     432.78
UVW2     55509.1046  14.217   0.059  18.336  11.122  18.416   0.997  5.0  0.0110     172.36     175.13
UVW2     55511.9352  14.243   0.053  19.121  11.118  17.982   0.880  5.0  0.0110     601.92    6065.70
UVW2     55512.4505  14.325   0.054  19.230  11.121  16.670   0.831  5.0  0.0110     761.49   69508.63
UVW2     55512.5004  14.258   0.054  19.120  11.123  17.738   0.880  5.0  0.0110     665.80   57851.97
UVW2     55513.8242  14.279   0.054  19.090  11.119  17.395   0.864  5.0  0.0110     571.37    6052.15
UVW2     55514.1550  14.233   0.053  19.115  11.120  18.149   0.889  5.0  0.0110     618.64    6420.69
UVW2     55515.6274  14.295   0.054  19.099  11.122  17.146   0.860  5.0  0.0110     618.64    6887.74
UVW2     55516.7537  14.273   0.054  19.076  11.122  17.489   0.874  5.0  0.0110     601.91    6125.16
UVW2     55517.4902  14.255   0.054  19.046  11.121  17.783   0.884  5.0  0.0110     555.65    6183.47
UVW2     55520.1096  14.272   0.054  19.093  11.118  17.507   0.865  5.0  0.0110     556.62    6477.60
UVW2     55523.0509  14.497   0.058  19.141  11.121  14.230   0.759  5.0  0.0110     633.41    6561.20
UVW2     55526.2027  14.341   0.055  19.149  11.118  16.421   0.825  5.0  0.0110     617.65    6332.61
UVW2     55529.7355  14.358   0.056  19.059  11.122  16.173   0.832  5.0  0.0110     570.41    6109.72
