MJD FLUX_U FLUX_G FLUX_R FLUX_I FLUXERR_U FLUXERR_G FLUXERR_R FLUXERR_I FLUXLIM_U FLUXLIM_G FLUXLIM_R FLUXLIM_I MAG_U MAG_G MAG_R MAG_I MAGERR_U MAGERR_G MAGERR_R MAGERR_I MAGLIM_U MAGLIM_G MAGLIM_R MAGLIM_I
#TDE1
53693.21599   0.68   0.22  -0.29  -2.01   0.71   0.30   0.33   0.49   1.10   0.47   0.50   0.66  22.92  24.17 -99.00 -99.00  -1.14  -1.50   1.25   0.26  22.40  23.33  23.26  22.95
53704.19931  -0.29  -0.24   0.10   0.22   0.40   0.13   0.23   0.43   0.61   0.20   0.34   0.57 -99.00 -99.00  25.00  24.13   1.49   0.57  -2.49  -2.10  23.04  24.26  23.66  23.11
53974.29195   6.59   5.03   3.83   2.90   0.50   0.19   0.28   0.37   0.70   0.28   0.35   0.52  20.45  20.75  21.04  21.35  -0.08  -0.04  -0.08  -0.14  22.89  23.87  23.63  23.20
53989.29534   7.96   5.81   2.82   1.63   0.75   0.34   0.37   0.54   1.15   0.54   0.56   1.63  20.25  20.59  21.37  21.97  -0.10  -0.06  -0.14  -0.36  22.35  23.16  23.12  21.97
53997.39098   2.84   4.37   1.79   1.94   0.48   0.19   0.26   0.51   0.74   0.29   0.38   1.94  21.37  20.90  21.87  21.78  -0.19  -0.05  -0.16  -0.28  22.82  23.84  23.56  21.78
54000.27076   5.12   3.68   2.21   2.34   0.48   0.21   0.28   0.46   0.72   0.31   2.21   0.69  20.73  21.08  21.64  21.58  -0.10  -0.06  -0.14  -0.21  22.86  23.76  21.64  22.90
54007.32090   4.85   4.20   2.82   1.64   0.53   0.19   0.27   0.46   0.78   0.30   0.40   1.64  20.79  20.94  21.37  21.96  -0.12  -0.05  -0.10  -0.30  22.77  23.80  23.51  21.96
54009.24468   3.33   3.06   1.26   0.79   0.51   0.20   0.30   0.46   0.74   0.32   1.26   0.79  21.19  21.28  22.25  22.75  -0.17  -0.07  -0.26  -0.63  22.83  23.74  22.25  22.75
54011.30916   3.53   4.38   3.35   2.35   0.55   0.31   0.35   0.51   0.85   0.44   0.47   0.65  21.13  20.90  21.19  21.57  -0.17  -0.08  -0.11  -0.23  22.67  23.38  23.31  22.97
54011.30916   4.33   4.00   3.34   2.25   0.57   0.30   0.34   0.59   0.78   0.42   0.47   2.25  20.91  20.99  21.19  21.62  -0.14  -0.08  -0.11  -0.29  22.77  23.45  23.32  21.62
54019.25938   3.60   2.32   2.09   3.23   0.57   0.23   0.31   0.61   0.83   0.34   0.44   3.23  21.11  21.58  21.70  21.23  -0.17  -0.11  -0.16  -0.20  22.70  23.69  23.40  21.23
54025.30818   0.47   3.12  -0.02  -1.00   1.60   0.19   0.41   0.60   0.74   0.22   0.53   0.83  23.33  21.27 -99.00 -99.00  -3.73  -0.07  26.32   0.65  22.83  24.12  23.19  22.70
54025.30818   1.79   2.86  -0.09  -1.39   0.36   0.17   0.42   0.58   0.51   0.23   0.59   0.82  21.87  21.36 -99.00 -99.00  -0.22  -0.07   4.82   0.46  23.24  24.08  23.07  22.71
54029.23852   3.89   2.65   2.42   1.62   0.51   0.15   0.28   0.54   0.79   0.23   0.41   1.62  21.02  21.44  21.54  21.98  -0.14  -0.06  -0.13  -0.36  22.76  24.07  23.47  21.98
54031.22545   2.71   2.55   1.64   1.44   0.49   0.16   0.28   0.48   0.73   0.23   0.35   1.44  21.42  21.48  21.97  22.11  -0.20  -0.07  -0.19  -0.36  22.84  24.08  23.65  22.11
54036.23021   3.87   1.64   1.88   0.68   0.51   0.15   0.28   0.47   0.77   0.22   1.88   0.68  21.03  21.96  21.81  22.91  -0.14  -0.10  -0.16  -0.74  22.79  24.12  21.81  22.91
54039.22836   3.40   2.30   1.93   1.07   0.59   0.27   0.32   0.53   0.92   0.42   1.93   0.73  21.17  21.60  21.79  22.42  -0.19  -0.13  -0.18  -0.53  22.59  23.45  21.79  22.84
54048.22297   2.86   3.14   2.01   2.66   0.55   0.25   0.31   0.58   0.81   0.39   2.01   2.66  21.36  21.26  21.74  21.44  -0.21  -0.09  -0.17  -0.24  22.73  23.53  21.74  21.44
54052.22710   2.79   1.09  -0.21  -1.49   2.30   0.36   0.32   0.59   2.79   1.09   0.49   0.88  21.38  22.41 -99.00 -99.00  -0.89  -0.36   1.61   0.43  21.38  22.41  23.28  22.64
54054.24582   3.52   2.03   1.54   0.02   0.84   0.29   0.44   0.70   3.52   0.43   1.54   1.05  21.13  21.73  22.03  26.83  -0.26  -0.15  -0.31 -40.56  21.13  23.43  22.03  22.45
#TDE2
54059.20845   0.67   0.22  -1.19   1.44   0.25   0.26   0.39   0.63   0.67   0.40   0.58   1.44  22.94  24.13 -99.00  22.11  -0.41  -1.26   0.36  -0.48  22.94  23.49  23.09  22.11
54062.21334   1.39  -0.05   0.25  -1.35   0.36   0.23   0.34   0.53   1.39   0.36   0.53   0.82  22.14 -99.00  23.99 -99.00  -0.28   4.52  -1.47   0.43  22.14  23.62  23.19  22.71
