#MJD	Phase	Band1	Band2	Band3	Band4	Band5	Band6	
#SDSS		u	g	r	i	z		
52639.380	-2610.62	18.20 +or- 0.01	17.84 +or- 0.01	17.63 +or- 0.01	17.29 +or- 0.01	17.34 +or- 0.01		
52639.470	-2610.53	18.17 +or- 0.01	17.84 +or- 0.01	17.64 +or- 0.01	17.35 +or- 0.01	17.36 +or- 0.01		
52724.240	-2525.76	18.24 +or- 0.01	17.90 +or- 0.01	17.70 +or- 0.01	17.38 +or- 0.01	17.45 +or- 0.01		
#Pal. 1.5 m		g	r	i	z			
55257.248	7.25	16.43 +or- 0.22	16.27 +or- 0.17	16.04 +or- 0.08	16.18 +or- 0.12			
55257.381	7.38	 ... 	16.48 +or- 0.08	16.10 +or- 0.12	16.07 +or- 0.19			
55266.508	16.51	16.44 +or- 0.21	16.26 +or- 0.16	16.05 +or- 0.19	16.30 +or- 0.21			
55369.171	119.17	17.58 +or- 0.19	17.31 +or- 0.19	16.80 +or- 0.23	16.68 +or- 0.21			
55370.174	120.17	17.73 +or- 0.15	17.31 +or- 0.18	16.75 +or- 0.21	16.68 +or- 0.30			
#ARIES		U	B	V	R	I		
55297.771	47.77	16.45 +or- 0.05	16.94 +or- 0.02	16.56 +or- 0.01	16.38 +or- 0.02	15.92 +or- 0.02		
55298.799	48.80	16.52 +or- 0.05	16.95 +or- 0.02	16.53 +or- 0.02	16.40 +or- 0.04	15.87 +or- 0.03		
55299.637	49.64	16.41 +or- 0.06	16.93 +or- 0.05	16.52 +or- 0.02	16.36 +or- 0.02	 ... 		
55300.643	50.64	16.59 +or- 0.06	 ... 	 ... 	16.40 +or- 0.02	15.91 +or- 0.03		
55310.656	60.66	16.55 +or- 0.03	 ... 	 ... 	16.47 +or- 0.02	15.90 +or- 0.02		
55311.613	61.61	16.61 +or- 0.05	17.11 +or- 0.02	 ... 	16.49 +or- 0.02	 +or- 0.02		
55312.632	62.63	16.72 +or- 0.05	17.11 +or- 0.04	16.67 +or- 0.03	16.59 +or- 0.03	15.94 +or- 0.03		
55316.604	66.60	16.73 +or- 0.05	17.20 +or- 0.01	16.72 +or- 0.01	16.58 +or- 0.02	15.97 +or- 0.02		
55320.610	70.61	16.68 +or- 0.14	 ... 	 ... 	16.61 +or- 0.03	16.03 +or- 0.02		
55323.646	73.65	16.85 +or- 0.04	17.30 +or- 0.01	16.83 +or- 0.02	16.71 +or- 0.02	16.08 +or- 0.02		
55324.601	74.60	16.89 +or- 0.04	17.30 +or- 0.03	16.83 +or- 0.01	16.69 +or- 0.03	16.09 +or- 0.03		
55329.625	79.63	 ... 	 ... 	 ... 	16.72 +or- 0.03	 ... 		
55334.624	84.62	16.92 +or- 0.03	17.41 +or- 0.03	16.97 +or- 0.02	16.85 +or- 0.03	16.18 +or- 0.05		
55346.611	96.61	 ... 	17.60 +or- 0.02	17.10 +or- 0.02	16.99 +or- 0.03	 +or- 0.03		
55349.629	99.63	17.28 +or- 0.07	17.65 +or- 0.05	17.14 +or- 0.03	17.01 +or- 0.04	16.29 +or- 0.03		
55356.654	106.65	17.19 +or- 0.07	17.70 +or- 0.03	17.21 +or- 0.02	17.14 +or- 0.03	16.41 +or- 0.04		
55358.620	108.62	17.25 +or- 0.05	17.82 +or- 0.03	17.21 +or- 0.03	17.23 +or- 0.05	16.49 +or- 0.04		
55362.622	112.62	17.14 +or- 0.04	17.77 +or- 0.02	17.23 +or- 0.02	 ... 	16.49 +or- 0.04		
55364.619	114.62	 ... 	17.80 +or- 0.06	17.19 +or- 0.06	 ... 	16.49 +or- 0.04		
55495.983	245.98	 ... 	19.49 +or- 0.20	18.61 +or- 0.08	19.15 +or- 0.20	17.64 +or- 0.10		
55499.932	249.93	18.97 +or- 0.20	19.18 +or- 0.09	18.74 +or- 0.09	19.43 +or- 0.25	17.77 +or- 0.09		
55509.979	259.98	19.28 +or- 0.24	19.41 +or- 0.09	18.58 +or- 0.06	19.20 +or- 0.19	17.99 +or- 0.13		
55527.971	277.97	18.84 +or- 0.19	 ... 	18.97 +or- 0.10	20.58 +or- 0.77	 ... 		
55533.979	283.98	19.10 +or- 0.28	19.97 +or- 0.18	19.10 +or- 0.10	20.68 +or- 0.86	17.96 +or- 0.29		
55562.971	312.97	19.41 +or- 0.30	21.11 +or- 0.49	19.41 +or- 0.13	 ... 	18.24 +or- 0.30		
#Swift		UVW1	UVM2	UVW2	U	B	V	
55292.580	42.58	16.10 +or- 0.03	16.09 +or- 0.02	16.27 +or- 0.02	15.76 +or- 0.03	16.55 +or- 0.03	16.18 +or- 0.04	
55311.620	61.62	16.19 +or- 0.10	16.44 +or- 0.07	16.43 +or- 0.03	15.90 +or- 0.03	16.80 +or- 0.03	16.32 +or- 0.04	
55325.940	75.94	16.39 +or- 0.03	16.46 +or- 0.03	16.64 +or- 0.03	16.07 +or- 0.03	16.84 +or- 0.03	16.35 +or- 0.04	
55339.120	89.12	16.78 +or- 0.06	16.66 +or- 0.08	16.71 +or- 0.02	16.17 +or- 0.06	16.98 +or- 0.03	16.56 +or- 0.04	
#Near-IR		J	H	K_s				
55312.176	62.18	15.06 +or- 0.11	14.19 +or- 0.13	13.54 +or- 0.09				
55313.311	63.31	15.23 +or- 0.12	14.38 +or- 0.14	13.44 +or- 0.12				
55333.230	83.23	15.03 +or- 0.10	14.28 +or- 0.12	13.17 +or- 0.11				
55336.209	86.21	15.22 +or- 0.11	14.18 +or- 0.13	13.03 +or- 0.10				
55338.175	88.18	14.99 +or- 0.11	14.38 +or- 0.14	13.69 +or- 0.09				
55340.162	90.16	15.59 +or- 0.13	14.46 +or- 0.12	13.74 +or- 0.10				
55342.155	92.16	15.41 +or- 0.11	14.32 +or- 0.12	13.51 +or- 0.10				
55361.191	111.19	15.15 +or- 0.11	14.09 +or- 0.12	13.17 +or- 0.09				
55369.147	119.15	15.52 +or- 0.11	14.33 +or- 0.12	13.72 +or- 0.09				
# Notes. The phase of the event is taken relative to the adopted maximum bright at MJD 55250. SDS photometry is that of the host galaxy. Swift photometry measurements include the flux from the host galaxy. All other photometry have the host galaxy flux subtracted.
