# MJD  FILTER  MAG  MAG_ERR  TELESCOPE
57249.532  I  15.45  0.129  LCOGT
57252.002  I  15.54  0.158  LCOGT
57256.428  I  15.46  0.133  LCOGT
57258.008  I  15.43  0.143  LCOGT
57262.251  I  15.34  0.193  LCOGT
57264.083  I  15.83  0.150  LCOGT
57268.052  I  15.72  0.129  LCOGT
57269.908  I  15.71  0.133  LCOGT
57271.882  I  15.70  0.143  LCOGT
57273.924  I  15.80  0.148  LCOGT
57276.874  I  15.80  0.142  LCOGT
57279.895  I  15.81  0.140  LCOGT
57282.476  I  15.85  0.133  LCOGT
57291.383  I  15.98  0.154  LCOGT
57294.522  I  15.99  0.141  LCOGT
57299.495  I  15.80  0.139  LCOGT
57302.481  I  15.95  0.200  LCOGT
57304.921  I  15.86  0.262  LCOGT
57307.106  I  15.93  0.126  LCOGT
57307.140  I  15.96  0.125  LCOGT
57316.018  I  15.98  0.134  LCOGT
57319.059  I  16.05  0.152  LCOGT
57321.796  I  16.04  0.116  LCOGT
57327.133  I  16.03  0.126  LCOGT
57329.849  I  15.88  0.128  LCOGT
57332.796  I  16.02  0.159  LCOGT
57335.821  I  16.06  0.157  LCOGT
57346.424  I  15.83  0.140  LCOGT
57349.419  I  15.87  0.133  LCOGT
57355.039  I  15.92  0.121  LCOGT
57249.533  V  16.01  0.053  LCOGT
57252.004  V  16.06  0.055  LCOGT
57256.429  V  16.10  0.053  LCOGT
57258.009  V  16.30  0.225  LCOGT
57259.334  V  16.15  0.071  Swift
57262.252  V  16.52  0.144  LCOGT
57264.392  V  16.44  0.071  Swift
57266.065  V  16.55  0.112  LCOGT
57268.053  V  16.63  0.047  LCOGT
57268.788  V  16.91  0.100  Swift
57269.909  V  16.76  0.050  LCOGT
57271.883  V  16.79  0.062  LCOGT
57272.514  V  16.88  0.091  Swift
57273.926  V  16.83  0.058  LCOGT
57276.096  V  17.00  0.100  Swift
57276.875  V  16.93  0.057  LCOGT
57278.172  V  16.94  0.062  LCOGT
57280.688  V  17.05  0.091  Swift
57282.475  V  16.98  0.050  LCOGT
57285.415  V  17.00  0.170  Swift
57285.424  V  16.90  0.130  LCOGT
57291.382  V  17.03  0.081  LCOGT
57291.590  V  17.02  0.130  Swift
57294.521  V  17.13  0.074  LCOGT
57294.588  V  17.07  0.130  Swift
57300.236  V  17.49  0.160  Swift
57303.628  V  17.31  0.150  Swift
57304.919  V  17.22  0.074  LCOGT
57306.494  V  17.09  0.120  Swift
57307.104  V  17.18  0.047  LCOGT
57307.138  V  17.18  0.056  LCOGT
57309.413  V  17.56  0.220  Swift
57312.137  V  17.10  0.130  Swift
57312.170  V  17.20  0.068  LCOGT
57315.877  V  17.28  0.082  LCOGT
57315.894  V  17.14  0.073  LCOGT
57316.016  V  17.24  0.075  LCOGT
57318.671  V  17.29  0.251  Swift
57319.057  V  17.23  0.059  LCOGT
57321.794  V  17.14  0.077  LCOGT
57324.051  V  17.85  0.360  Swift
57327.129  V  17.26  0.045  LCOGT
57327.961  V  17.15  0.154  Swift
57329.844  V  17.25  0.055  LCOGT
57330.420  V  17.27  0.251  Swift
57332.791  V  17.28  0.051  LCOGT
57333.480  V  17.31  0.201  Swift
57335.816  V  17.29  0.065  LCOGT
57336.141  V  17.63  0.220  Swift
57339.334  V  16.85  0.210  Swift
57342.069  V  16.89  0.180  Swift
57344.415  V  17.22  0.060  LCOGT
57345.793  V  17.13  0.160  Swift
57346.420  V  17.17  0.066  LCOGT
57348.384  V  17.25  0.160  Swift
57349.423  V  17.32  0.056  LCOGT
