"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"1251"," 1997dh","23:45:17.170","-44:56:45.10","","","Anon.           ","","","","","","","","","0","1","","19","","1997-10-20 00:00:00.000","","[Discoverer=EROS; DiscoveryRef=IAUC 6760; PositionRef=IAUC 6760; Orig Type=Unknown]",""
"1252","SN 1997di","07:47:44.450","+62:19:39.22","SN II","","UGC 4015        ","","","","","","","","","0","1","","18.1","","1997-10-27 00:00:00.000","","[Discoverer=BAO Supernova Survey; DiscoveryRef=IAUC 6762; PositionRef=IAUC 6762; Orig Type=II   ]",""
"1253"," 1997dj","01:14:40.970","-40:35:51.11","","","Anon.           ","","","","","","","","","0","1","","22","","1997-10-24 00:00:00.000","","[Discoverer=EROS; DiscoveryRef=IAUC 6762; PositionRef=IAUC 6762; Orig Type=Unknown]",""
"1254"," 1997dk","23:43:38.690","-41:19:25.39","","","Anon.           ","","","","","","","","","0","1","","18.7","","1997-10-26 00:00:00.000","","[Discoverer=EROS; DiscoveryRef=IAUC 6762; PositionRef=IAUC 6762; Orig Type=Unknown]",""
"1255"," 1997dl","23:43:38.479","-41:19:19.99","","","Anon.           ","","","","","","","","","0","1","","19.5","","1997-10-26 00:00:00.000","","[Discoverer=EROS; DiscoveryRef=IAUC 6762; PositionRef=IAUC 6762; Orig Type=Unknown]",""
"1256"," 1997dm","00:30:12.830","-41:06:08.89","","","Anon.           ","","","","","","","","","0","1","","20.3","","1997-10-26 00:00:00.000","","[Discoverer=EROS; DiscoveryRef=IAUC 6762; PositionRef=IAUC 6762; Orig Type=Unknown]",""
"1257","SN 1997dn","10:54:18.950","+27:14:07.30","SN II","","NGC 3451        ","","","","","","","","","0","1","","16","","1997-10-29 00:00:00.000","","[Discoverer=Boles; DiscoveryRef=IAUC 6763; PositionRef=IAUC 6763; Orig Type=II   ]",""
"1258","SN 1997do","07:26:42.499","+47:05:35.99","SN Ia","","UGC 3845        ","","","","","","","","","0","1","","15.8","","1997-10-31 00:00:00.000","","[Discoverer=BAO Supernova Survey; DiscoveryRef=IAUC 6766; PositionRef=IAUC 6766; Orig Type=Ia   ]",""
"1259","SN 1997dp","02:34:06.480","+32:56:13.42","SN Ia","","NGC 969         ","","","","","","","","","0","1","","17.8","","1997-11-01 00:00:00.000","","[Discoverer=Christen; DiscoveryRef=IAUC 6768; PositionRef=IAUC 6768; Orig Type=Ia   ]",""
"1260","SN 1997dq","11:40:55.901","+11:28:45.70","SN Ib","","NGC 3810        ","","","","","","","","","0","1","","15","","1997-11-02 00:00:00.000","","[Discoverer=Aoki; DiscoveryRef=IAUC 6770; PositionRef=IAUC 6770; Orig Type=Ib   ]",""
"1261"," 1997dr","03:18:49.210","-44:28:13.40","","","Anon.           ","","","","","","","","","0","1","","18.7","","1997-11-07 00:00:00.000","","[Discoverer=Mount Stromlo Abell Cluster Supernova Search Team; DiscoveryRef=IAUC 6773; PositionRef=IAUC 6773; Orig Type=Unknown]",""
"1262","SN 1997ds","22:24:11.510","-03:29:10.50","SN II","","MCG -01-57-7    ","","","","","","","","","0","1","","16.3","","1997-11-19 00:00:00.000","","[Discoverer=BAO Supernova Search; DiscoveryRef=IAUC 6773; PositionRef=IAUC 6773; Orig Type=II   ]",""
"1263","SN 1997dt","23:00:02.930","+15:58:50.92","SN Ia","","NGC 7448        ","","","","","","","","","0","1","","15.3","","1997-11-22 00:00:00.000","","[Discoverer=BAO Supernova Search; DiscoveryRef=IAUC 6775; PositionRef=IAUC 6775; Orig Type=Ia   ]",""
"1264","SN 1997du","00:10:25.430","-46:29:30.91","SN II","","ESO 241-G22     ","","","","","","","","","0","1","","18","","1997-10-30 00:00:00.000","","[Discoverer=Antezana; DiscoveryRef=IAUC 6776; PositionRef=IAUC 6776; Orig Type=II   ]",""
"1265"," 1997dv","04:15:00.010","+05:32:06.11","","","Anon.           ","","","","","","","","","0","1","","23","","1997-10-29 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6779; PositionRef=IAUC 6779; Orig Type=Unknown]",""
"1266"," 1997dw","04:14:49.051","+05:54:51.91","","","Anon.           ","","","","","","","","","0","1","","21.2","","1997-10-29 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6779; PositionRef=IAUC 6779; Orig Type=Unknown]",""
"1267","SN 1997dx","01:38:21.101","-12:43:22.80","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.5","","1997-10-29 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6779; PositionRef=IAUC 6779; Orig Type=Ia   ]",""
"1268"," 1997dy","04:16:35.321","+05:47:03.08","","","Anon.           ","","","","","","","","","0","1","","23.9","","1997-11-01 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6779; PositionRef=IAUC 6779; Orig Type=Unknown]",""
"1269"," 1997dz","01:56:03.691","-13:43:06.38","","","Anon.           ","","","","","","","","","0","1","","22.3","","1997-11-01 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6779; PositionRef=IAUC 6779; Orig Type=Unknown]",""
"1270","SN 1997E","06:47:38.100","+74:29:51.00","SN Ia","","NGC 2258        ","","","","","","","","","0","1","","15.7","","1997-01-14 00:00:00.000","","[Discoverer=Kushida; DiscoveryRef=IAUC 6538; PositionRef=IAUC 6538; Orig Type=Ia   ]",""
"1271","SN 1997ea","07:48:37.699","+52:13:22.80","SN Ia","","Anon.           ","","","","","","","","","0","1","","19","","1997-11-30 00:00:00.000","","[Discoverer=University of Texas Observatory Supernova Search Team; DiscoveryRef=IAUC 6781; PositionRef=IAUC 6781; Orig Type=Ia   ]",""
"1272"," 1997eb","02:53:00.149","-03:36:38.09","","","Anon.           ","","","","","","","","","0","1","","21","","1997-11-19 00:00:00.000","","[Discoverer=EROS; DiscoveryRef=IAUC 6782; PositionRef=IAUC 6782; Orig Type=Unknown]",""
"1273"," 1997ec","03:49:07.819","-01:44:26.70","","","Anon.           ","","","","","","","","","0","1","","21","","1997-11-20 00:00:00.000","","[Discoverer=EROS; DiscoveryRef=IAUC 6782; PositionRef=IAUC 6782; Orig Type=Unknown]",""
"1274","SN 1997ed","03:46:56.520","+00:41:45.38","SN II","","Anon.           ","","","","","","","","","0","1","","21","","1997-11-22 00:00:00.000","","[Discoverer=EROS; DiscoveryRef=IAUC 6782; PositionRef=IAUC 6782; Orig Type=II?  ]",""
"1275","SN 1997ee","03:07:24.821","-03:10:26.69","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.5","","1997-11-23 00:00:00.000","","[Discoverer=EROS; DiscoveryRef=IAUC 6782; PositionRef=IAUC 6782; Orig Type=Ia   ]",""
"1276","SN 1997ef","07:57:02.870","+49:33:41.29","SN Ib","","UGC 4107        ","","","","","","","","","0","1","","16.7","","1997-11-25 00:00:00.000","","[Discoverer=Sano; DiscoveryRef=IAUC 6778; PositionRef=IAUC 6778; Orig Type=Ib?  ]",""
"1277"," 1997eg","13:11:36.730","+22:55:29.39","","","NGC 5012        ","","","","","","","","","0","1","","15.6","","1997-12-04 00:00:00.000","","[Discoverer=Aoki; DiscoveryRef=IAUC 6790; PositionRef=IAUC 6790; Orig Type=Unknown]",""
"1278","SN 1997eh","05:49:04.589","-24:29:01.61","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.5","","1997-11-25 00:00:00.000","","[Discoverer=Antezana; DiscoveryRef=IAUC 6795; PositionRef=IAUC 6795; Orig Type=Ia   ]",""
