"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"3651","SN 2006gn","23:11:18.430","+00:30:16.60","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.2","","2006-08-28 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 637; PositionRef=CBET  637; Orig Type=Ia   ]",""
"3652","SN 2006go","00:24:33.761","-00:16:44.69","SN Ia","","Anon.           ","","","","","","","","","0","1","","22","","2006-09-12 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 637; PositionRef=CBET  637; Orig Type=Ia   ]",""
"3653","SN 2006gp","22:34:10.001","+00:03:17.89","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.2","","2006-09-15 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 637; PositionRef=CBET  637; Orig Type=Ia   ]",""
"3654","SN 2006gq","01:45:12.540","+00:21:23.18","SN II","","Anon.           ","","","","","","","","","0","1","","20.2","","2006-09-17 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 637; PositionRef=CBET  637; Orig Type=II?  ]",""
"3655","SN 2006gr","22:32:22.670","+30:49:43.28","SN Ia","","UGC 12071       ","","","","","","","","","0","1","","18.8","","2006-09-21 00:00:00.000","","[Discoverer=LOSS; DiscoveryRef=CBET 638; PositionRef=IAUC 8754; Orig Type=Ia   ]",""
"3656","SN 2006gs","11:56:08.501","+55:23:29.80","SN II","","NGC 3977        ","","","","","","","","","0","1","","17","","2006-09-22 00:00:00.000","","[Discoverer=Itagaki; DiscoveryRef=CBET 640; PositionRef=IAUC 8754; Orig Type=II   ]",""
"3657","SN 2006gt","00:56:17.299","-01:37:45.98","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.5","","2006-09-18 00:00:00.000","","[Discoverer=Quimby, Mondol; DiscoveryRef=CBET 641; PositionRef=IAUC 8754; Orig Type=Ia   ]",""
"3658","SN 2006gu","00:40:38.959","-00:04:24.89","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.1","","2006-08-27 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II collaboration; DiscoveryRef=CBET 643; PositionRef=CBET  643; Orig Type=Ia   ]",""
"3659","SN 2006gv","01:48:36.370","+00:19:41.59","SN Ia","","Anon.           ","","","","","","","","","0","1","","21","","2006-09-11 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II collaboration; DiscoveryRef=CBET 643; PositionRef=CBET  643; Orig Type=Ia   ]",""
"3660","SN 2006gw","01:57:53.501","-00:32:02.90","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.7","","2006-09-11 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II collaboration; DiscoveryRef=CBET 643; PositionRef=CBET  643; Orig Type=Ia   ]",""
