"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"4301","SN 2007ke","02:54:23.899","+41:34:16.28","SN Ib","","NGC 1129        ","","","","","","","","","0","1","","18.5","","2007-09-24 00:00:00.000","","[Discoverer=Chu, Li (LOSS); DiscoveryRef=CBET 1084; PositionRef=CBET 1084; Orig Type=Ib   ]",""
"4302","SN 2007kf","17:31:31.759","+69:18:40.10","SN Ia","","Anon.           ","","","","","","","","","0","1","","17","","2007-09-22 00:00:00.000","","[Discoverer=Kloehr; DiscoveryRef=CBET 1085; PositionRef=IAUC 8875; Orig Type=Ia   ]",""
"4303","SN 2007kg","23:58:37.430","+60:59:06.68","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.1","","2007-09-22 00:00:00.000","","[Discoverer=Mikuz; DiscoveryRef=CBET 1086; PositionRef=IAUC 8875; Orig Type=Ia   ]",""
"4304","SN 2007kh","03:15:12.101","+43:10:13.01","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.9","","2007-09-07 00:00:00.000","","[Discoverer=Yuan et al. (ROTSE); DiscoveryRef=CBET 1089; PositionRef=CBET 1089; Orig Type=Ia   ]",""
"4305","SN 2007ki","07:06:00.900","+28:17:45.38","SN Ia","","MCG +05-17-10   ","","","","","","","","","0","1","","18.4","","2007-09-27 00:00:00.000","","[Discoverer=Madison, Li (LOSS); DiscoveryRef=CBET 1090; PositionRef=CBET 1090; Orig Type=Ia   ]",""
"4306","SN 2007kj","00:01:19.579","+13:06:30.60","SN Ib/c","","NGC 7803        ","","","","","","","","","0","1","","17.4","","2007-10-02 00:00:00.000","","[Discoverer=Itagaki; DiscoveryRef=CBET 1092; PositionRef=CBET 1092; Orig Type=Ib/c ]",""
"4307","SN 2007kk","03:42:23.261","+39:14:30.41","SN Ia","","UGC 2828        ","","","","","","","","","0","1","","18.3","","2007-09-28 00:00:00.000","","[Discoverer=Parisky, Li (LOSS); DiscoveryRef=CBET 1096; PositionRef=CBET 1096; Orig Type=Ia   ]",""
"4308","SN 2007kl","02:44:50.899","+00:21:53.39","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.9","","2007-09-03 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1098; PositionRef=CBET 1098; Orig Type=Ia   ]",""
"4309","SN 2007km","02:48:20.069","-00:17:17.30","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.1","","2007-09-04 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1098; PositionRef=CBET 1098; Orig Type=Ia   ]",""
"4310","SN 2007kn","20:48:09.420","-01:00:55.40","SN II","","Anon.           ","","","","","","","","","0","1","","22","","2007-09-13 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1098; PositionRef=CBET 1098; Orig Type=II?  ]",""
"4311","SN 2007ko","21:04:22.370","-00:53:52.80","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.8","","2007-09-13 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1098; PositionRef=CBET 1098; Orig Type=Ia   ]",""
