"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"4651","SN 2008by","12:05:20.981","+40:56:45.60","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.2","","2008-04-19 00:00:00.000","","[Discoverer=Yuan et al. (ROTSE); DiscoveryRef=CBET 1350; PositionRef=CBET 1350; Orig Type=Ia   ]",""
"4652","SN 2008bz","12:38:57.739","+11:07:46.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.7","","2008-04-22 00:00:00.000","","[Discoverer=Yuan et al. (ROTSE); DiscoveryRef=CBET 1353; PositionRef=CBET 1353; Orig Type=Ia   ]",""
"4653","SN 2008C","06:57:11.530","+20:26:13.70","SN Ia","","UGC 3611        ","","","","","","","","","0","1","","14.9","","2008-01-03 00:00:00.000","","[Discoverer=Puckett, Gagliano, Newton; DiscoveryRef=CBET 1195; PositionRef=CBET 1195; Orig Type=Ia   ]",""
"4654","SN 2008ca","12:29:01.279","+12:22:18.80","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.7","","2008-03-10 00:00:00.000","","[Discoverer=Kasliwal et al.; DiscoveryRef=CBET 1355; PositionRef=CBET 1355; Orig Type=Ia   ]",""
"4655","SN 2008cb","12:31:18.900","+08:23:18.10","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.2","","2008-03-10 00:00:00.000","","[Discoverer=Kasliwal et al.; DiscoveryRef=CBET 1355; PositionRef=CBET 1355; Orig Type=Ia   ]",""
"4656","SN 2008cc","21:03:29.621","-67:11:01.10","SN Ia","","ESO 107-G4      ","","","","","","","","","0","1","","16","","2008-04-24 00:00:00.000","","[Discoverer=Pignata et al. (CHASE); DiscoveryRef=CBET 1356; PositionRef=CBET 1356; Orig Type=Ia   ]",""
"4657","SN 2008cd","13:15:01.750","-15:57:06.80","SN Ia","","NGC 5038        ","","","","","","","","","0","1","","16.6","","2008-04-29 00:00:00.000","","[Discoverer=Parisky, Li, Filippenko (LOSS); DiscoveryRef=CBET 1360; PositionRef=CBET 1360; Orig Type=Ia   ]",""
"4658","SN 2008ce","12:27:27.701","-08:10:05.30","SN IIP","","NGC 4428        ","","","","","","","","","0","1","","17.4","","2008-05-02 00:00:00.000","","[Discoverer=Thrasher, Li, Filippenko (LOSS); DiscoveryRef=CBET 1363; PositionRef=CBET 1363; Orig Type=IIP  ]",""
"4659","SN 2008cf","14:07:32.561","-26:33:06.59","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.1","","2008-05-04 00:00:00.000","","[Discoverer=LOSS; DiscoveryRef=CBET 1365; PositionRef=CBET 1365; Orig Type=Ia   ]",""
"4660","SN 2008cg","15:54:15.149","+10:58:25.00","SN IIn","","Anon.           ","","","","","","","","","0","1","","16.7","","2008-05-05 00:00:00.000","","[Discoverer=Drake et al.; DiscoveryRef=CBET 1366; PositionRef=CBET 1366; Orig Type=IIn  ]",""
