"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"3601","SN 2006er","00:21:37.541","-01:00:35.89","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.5","","2006-08-26 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 611; PositionRef=IAUC 8744; Orig Type=Ia   ]",""
"3602","SN 2006es","03:42:24.480","+39:14:30.98","SN Ia","","UGC 2828        ","","","","","","","","","0","1","","18","","2006-09-01 00:00:00.000","","[Discoverer=LOSS; DiscoveryRef=CBET 613; PositionRef=IAUC 8745; Orig Type=Ia   ]",""
"3603","SN 2006et","00:42:45.821","-23:33:30.38","SN Ia","","NGC 232         ","","","","","","","","","0","1","","16.1","","2006-09-03 00:00:00.000","","[Discoverer=Itagaki; DiscoveryRef=CBET 616; PositionRef=IAUC 8745; Orig Type=Ia   ]",""
"3604","SN 2006eu","20:02:51.149","+49:19:02.32","SN Ia","","MCG +08-36-16   ","","","","","","","","","0","1","","17.4","","2006-09-03 00:00:00.000","","[Discoverer=LOSS; DiscoveryRef=CBET 618; PositionRef=IAUC 8745; Orig Type=Ia   ]",""
"3605","SN 2006ev","21:30:59.261","+13:59:21.19","SN Ia","","UGC 11758       ","","","","","","","","","0","1","","16.6","","2006-09-12 00:00:00.000","","[Discoverer=Ory; DiscoveryRef=IAUC 8747; PositionRef=IAUC 8747; Orig Type=Ia   ]",""
"3606","SN 2006ew","20:20:02.170","-00:58:32.48","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.1","","2006-08-27 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 621; PositionRef=CBET  621; Orig Type=Ia   ]",""
"3607","SN 2006ex","20:38:43.860","-00:28:28.31","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.1","","2006-08-27 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 621; PositionRef=CBET  621; Orig Type=Ia   ]",""
"3608","SN 2006ey","21:07:03.730","+00:43:23.09","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.5","","2006-08-27 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 621; PositionRef=CBET  621; Orig Type=Ia   ]",""
"3609","SN 2006ez","21:33:49.260","-01:00:57.38","SN II","","Anon.           ","","","","","","","","","0","1","","20.3","","2006-08-27 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 621; PositionRef=CBET  621; Orig Type=II   ]",""
"3610","SN 2006F","02:28:11.371","+19:36:13.50","SN Ib","","NGC 935         ","","","","","","","","","0","1","","17.3","","2006-01-11 00:00:00.000","","[Discoverer=Villi; DiscoveryRef=CBET 364; PositionRef=CBET  364; Orig Type=Ib   ]",""
"3611","SN 2006fa","21:35:30.739","-00:58:49.01","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.8","","2006-08-27 00:00:00.000","","[Discoverer=SDSS II collaboration; DiscoveryRef=CBET 621; PositionRef=CBET  621; Orig Type=Ia   ]",""
