"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Discovering Group/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"42211","AT 2019mbd","01:39:43.119","+42:15:36.63","","","","","ZTF","","ZTF","ZTF19abjaiyc","P48 - ZTF-Cam","","1","1","","19.55","r-ZTF","2019-07-30 09:50:50","ZTF_AMPEL_NEW","",""
"42210","AT 2019mbc","20:12:41.058","+02:00:53.15","","","","","ZTF","","ZTF","ZTF19abiwtwa","P48 - ZTF-Cam","","1","1","","18.88","g-ZTF","2019-07-27 07:59:21","ZTF_AMPEL_NEW","",""
"42209","AT 2019mbb","20:52:26.749","-01:04:50.95","","","","","ZTF","","ZTF","ZTF19abiwtjt","P48 - ZTF-Cam","","1","1","","18.45","g-ZTF","2019-07-27 07:56:42","ZTF_AMPEL_NEW","",""
"42208","AT 2019mba","14:56:07.362","+83:31:22.45","","","","","ZTF","","ZTF","ZTF19abiweih","P48 - ZTF-Cam","","1","1","","18.51","g-ZTF","2019-07-27 07:22:09","ZTF_AMPEL_NEW","","TESS-active sector/s (14);TESS-Sector14"
"42207","AT 2019maz","17:52:11.535","+64:25:15.34","","","","","ZTF","","ZTF","ZTF19abitsuq","P48 - ZTF-Cam","","1","1","","19.83","r-ZTF","2019-07-28 07:53:59","ZTF_AMPEL_NEW","","TESS-active sector/s (14);TESS-Sector14"
"42206","AT 2019may","17:54:07.300","+06:11:05.17","","","","","ZTF","","ZTF","ZTF19abitlhw","P48 - ZTF-Cam","","1","1","","18.62","r-ZTF","2019-07-27 04:33:16","ZTF_AMPEL_NEW","",""
"42205","AT 2019max","20:50:56.492","+06:42:35.34","","","","","ZTF","","ZTF","ZTF19abisonh","P48 - ZTF-Cam","","1","1","","19.63","r-ZTF","2019-07-24 09:27:29","ZTF_AMPEL_NEW","",""
"42204","AT 2019maw","00:39:39.461","+30:10:41.39","","","","","ZTF","","ZTF","ZTF19abirbpd","P48 - ZTF-Cam","","1","1","","20.21","g-ZTF","2019-07-22 11:26:53","ZTF_AMPEL_NEW","",""
"42203","AT 2019mav","22:48:17.121","-02:49:07.24","","","","","ZTF","","ZTF","ZTF19abipmfl","P48 - ZTF-Cam","","1","1","","19.83","r-ZTF","2019-07-26 09:35:21","ZTF_AMPEL_NEW","",""
"42202","AT 2019mau","22:13:48.272","-09:03:42.04","","","","","ZTF","","ZTF","ZTF19abiovhj","P48 - ZTF-Cam","","1","1","","19.62","g-ZTF","2019-07-26 10:58:48","ZTF_AMPEL_NEW","",""
"42201","AT 2019mat","20:03:37.029","-18:46:43.76","","","","","ZTF","","ZTF","ZTF19abinscz","P48 - ZTF-Cam","","1","1","","19.37","r-ZTF","2019-07-26 08:32:22","ZTF_AMPEL_NEW","",""
"42200","AT 2019mas","21:03:09.667","+22:10:49.34","","","","","ZTF","","ZTF","ZTF19abimtvw","P48 - ZTF-Cam","","1","1","","18.55","g-ZTF","2019-07-27 07:52:46","ZTF_AMPEL_NEW","",""
"42199","AT 2019mar","21:19:15.624","-19:28:18.87","","","","","ZTF","","ZTF","ZTF19abimfap","P48 - ZTF-Cam","","1","1","","19.62","g-ZTF","2019-07-26 07:09:52","ZTF_AMPEL_NEW","",""
"42198","AT 2019maq","20:01:49.819","-05:18:16.20","","","","","ZTF","","ZTF","ZTF19abimbfm","P48 - ZTF-Cam","","1","1","","17.44","g-ZTF","2019-07-26 07:04:39","ZTF_AMPEL_NEW","",""
"42197","AT 2019map","15:12:55.651","+15:36:40.48","","","","","ZTF","","ZTF","ZTF19abiiyni","P48 - ZTF-Cam","","1","1","","19.53","g-ZTF","2019-07-26 04:39:50","ZTF_AMPEL_NEW","",""
"42196","AT 2019mao","16:56:58.599","+27:10:28.14","","","","","ZTF","","ZTF","ZTF19abiivkc","P48 - ZTF-Cam","","1","1","","19.62","r-ZTF","2019-07-27 04:35:13","ZTF_AMPEL_NEW","",""
"42195","AT 2019man","15:56:54.551","+12:29:26.11","","","","","ZTF","","ZTF","ZTF19abiijov","P48 - ZTF-Cam","","1","1","","19.71","r-ZTF","2019-07-26 04:04:41","ZTF_AMPEL_NEW","",""
"42194","AT 2019mam","23:18:33.988","-05:34:31.37","","","","","ZTF","","ZTF","ZTF19abidgob","P48 - ZTF-Cam","","1","1","","19.3","r-ZTF","2019-07-24 10:02:16","ZTF_AMPEL_NEW","",""
"42193","AT 2019mal","23:09:06.584","-17:40:27.34","","","","","ZTF","","ZTF","ZTF19abidfsb","P48 - ZTF-Cam","","1","1","","20.06","r-ZTF","2019-07-24 10:00:59","ZTF_AMPEL_NEW","",""
"42192","AT 2019mak","19:49:54.097","-10:49:09.86","","","","","ZTF","","ZTF","ZTF19abiadzq","P48 - ZTF-Cam","","1","1","","16.65","g-ZTF","2019-07-24 07:32:28","ZTF_AMPEL_NEW","",""
"42191","AT 2019maj","20:01:12.881","-22:07:17.80","","","","","ZTF","","ZTF","ZTF19aayunwf","P48 - ZTF-Cam","","1","1","","17.87","g-ZTF","2019-07-29 07:01:03","ZTF_AMPEL_NEW","",""
"42190","AT 2019mai","03:57:48.940","+28:44:43.36","","","","","ZTF","","ZTF","ZTF19aaqfrrl","P48 - ZTF-Cam","","1","1","","18.76","g-ZTF","2019-07-29 10:39:53","ZTF_AMPEL_NEW","",""
"42189","AT 2019mah","11:24:04.607","+69:19:23.11","","","","","ZTF","","ZTF","ZTF19aahhyns","P48 - ZTF-Cam","","1","1","","18","r-ZTF","2019-07-28 04:20:01","ZTF_AMPEL_NEW","","TESS-active sector/s (14);TESS-Sector14"
"42188","AT 2019mag","04:17:19.801","+03:46:52.96","","","","","ZTF","","ZTF","ZTF19aabjrvg","P48 - ZTF-Cam","","1","1","","19.8","g-ZTF","2019-07-30 11:08:40","ZTF_AMPEL_NEW","",""
"42187","AT 2019maf","04:05:52.684","-03:10:36.60","","","","","ZTF","","ZTF","ZTF18acggbaa","P48 - ZTF-Cam","","1","1","","15.08","g-ZTF","2019-07-30 11:07:20","ZTF_AMPEL_NEW","",""
"42186","AT 2019mae","23:25:57.316","-24:41:26.10","","","","","ZTF","","ZTF","ZTF18abufihd","P48 - ZTF-Cam","","1","1","","18.89","g-ZTF","2019-07-29 10:01:18","ZTF_AMPEL_NEW","",""
"42185","AT 2019mad","20:06:06.174","+08:09:08.64","","","","","ZTF","","ZTF","ZTF19abiahik","P48 - ZTF-Cam","","1","1","","19.68","g-ZTF","2019-07-24 07:35:02","ZTF_Bot1","",""
"42184","AT 2019mac","01:35:10.707","+28:31:29.84","","","","","ZTF","","ZTF","ZTF19abhjhes","P48 - ZTF-Cam","","1","1","","19.85","g-ZTF","2019-07-18 11:44:09","ZTF_Bot1","",""
