"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"2401","SN 2002ia","01:45:38.520","+24:08:07.91","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.2","","2002-10-30 00:00:00","","[Discoverer=NEAT/Wood-Vasey et al.; DiscoveryRef=IAUC 8017; PositionRef=IAUC 8017; Orig Type=Ia   ]",""
"2402","SN 2002ib","00:54:07.450","+17:33:53.71","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.8","","2002-10-31 00:00:00","","[Discoverer=NEAT/Wood-Vasey et al.; DiscoveryRef=IAUC 8019; PositionRef=IAUC 8019; Orig Type=Ia   ]",""
"2403","SN 2002ic","01:30:02.551","+21:53:06.90","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.5","","2002-11-13 00:00:00","","[Discoverer=NEAT/Wood-Vasey et al.; DiscoveryRef=IAUC 8019; PositionRef=IAUC 8019; Orig Type=Ia   ]",""
"2404","SN 2002id","01:30:02.849","-00:40:32.41","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.2","","2002-10-29 00:00:00","","[Discoverer=Sloan Digital Sky Survey; DiscoveryRef=IAUC 8020; PositionRef=IAUC 8020; Orig Type=Ia   ]",""
"2405","SN 2002ie","01:38:53.201","+00:59:05.32","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.5","","2002-10-29 00:00:00","","[Discoverer=Sloan Digital Sky Survey; DiscoveryRef=IAUC 8020; PositionRef=IAUC 8020; Orig Type=Ia   ]",""
"2406","SN 2002if","01:50:04.510","+00:00:26.39","SN Ic","","Anon.           ","","","","","","","","","0","1","","22","","2002-10-29 00:00:00","","[Discoverer=Sloan Digital Sky Survey; DiscoveryRef=IAUC 8020; PositionRef=IAUC 8020; Orig Type=Ic?  ]",""
"2407","SN 2002ig","01:36:36.720","+00:55:25.61","SN II","","Anon.           ","","","","","","","","","0","1","","19.6","","2002-10-29 00:00:00","","[Discoverer=Sloan Digital Sky Survey; DiscoveryRef=IAUC 8020; PositionRef=IAUC 8020; Orig Type=II   ]",""
"2408","SN 2002ih","01:57:04.490","-00:38:02.18","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.5","","2002-10-29 00:00:00","","[Discoverer=Sloan Digital Sky Survey; DiscoveryRef=IAUC 8020; PositionRef=IAUC 8020; Orig Type=Ia   ]",""
"2409","SN 2002ii","22:01:52.421","-01:10:24.10","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.3","","2002-10-30 00:00:00","","[Discoverer=Sloan Digital Sky Survey; DiscoveryRef=IAUC 8020; PositionRef=IAUC 8020; Orig Type=Ia   ]",""
"2410","SN 2002ij","21:17:37.639","+00:30:32.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.2","","2002-10-30 00:00:00","","[Discoverer=Sloan Digital Sky Survey; DiscoveryRef=IAUC 8020; PositionRef=IAUC 8020; Orig Type=Ia   ]",""
"2411","SN 2002ik","21:25:54.271","+00:24:53.60","SN IIP","","Anon.           ","","","","","","","","","0","1","","20.1","","2002-10-30 00:00:00","","[Discoverer=Sloan Digital Sky Survey; DiscoveryRef=IAUC 8020; PositionRef=IAUC 8020; Orig Type=IIp  ]",""
"2412","SN 2002il","22:51:55.709","+00:36:05.51","SN Ia","","Anon.           ","","","","","","","","","0","1","","20","","2002-10-30 00:00:00","","[Discoverer=Sloan Digital Sky Survey; DiscoveryRef=IAUC 8020; PositionRef=IAUC 8020; Orig Type=Ia   ]",""
"2413","SN 2002im","22:58:04.589","+00:34:13.51","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.9","","2002-10-30 00:00:00","","[Discoverer=Sloan Digital Sky Survey; DiscoveryRef=IAUC 8020; PositionRef=IAUC 8020; Orig Type=Ia   ]",""
"2414","SN 2002in","21:44:17.381","-00:14:31.49","SN II","","Anon.           ","","","","","","","","","0","1","","19.1","","2002-10-30 00:00:00","","[Discoverer=Sloan Digital Sky Survey; DiscoveryRef=IAUC 8020; PositionRef=IAUC 8020; Orig Type=II   ]",""
