"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"501"," 1977E","07:57:53.400","+85:42:20.00","","","CGCG 362-48","","","","","","","","","0","1","","15","","1977-12-18 00:00:00","","[Discoverer=Lovas; DiscoveryRef=IAUC 3158; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"502"," 1977F","10:48:26.900","+26:34:39.00","","","UGC 5912        ","","","","","","","","","0","1","","15.8","","1977-01-15 00:00:00","","[Discoverer=Rosino; DiscoveryRef=IAUC 3037; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"503"," 1977G","23:35:08.100","+04:54:36.00","","","NGC 7704        ","","","","","","","","","0","1","","15.5","","","","[Discoverer=; DiscoveryRef=; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"504"," 1977H","17:54:08.700","+30:41:43.00","","","UGC 11031       ","","","","","","","","","0","1","","19","","","","[Discoverer=Karachentsev, Kopylov; DiscoveryRef=IAUC 3069; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"505"," 1977I","01:08:06.389","-27:38:03.91","","","Anon.           ","","","","","","","","","0","1","","18","","1977-08-18 00:00:00","","[Discoverer=McNaught; DiscoveryRef=IAUC 5682; PositionRef=IAUC 5682; Orig Type=Unknown]",""
"506"," 1978A","13:30:16.900","-21:44:52.00","","","ESO 576-G72","","","","","","","","","0","1","","17","","1978-05-08 00:00:00","","[Discoverer=Gilmore; DiscoveryRef=IAUC 3221; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"507"," 1978B","11:19:42.000","+59:17:11.00","","","UGC 6335        ","","","","","","","","","0","1","","14","","1978-07-03 00:00:00","","[Discoverer=Young, Ritchie; DiscoveryRef=IAUC 3242; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"508"," 1978C","03:42:11.700","-27:51:49.00","","","ESO 419-G3","","","","","","","","","0","1","","18.5","","1978-08-14 00:00:00","","[Discoverer=Schweizer, Phillips; DiscoveryRef=IAUC 3254; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"509"," 1978D","23:06:38.300","-44:26:52.00","","","Anon.           ","","","","","","","","","0","1","","20","","1978-09-23 00:00:00","","[Discoverer=Lee, Zealey; DiscoveryRef=IAUC 3282; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"510"," 1978E","22:34:57.700","+37:11:39.00","","","CGCG 514-58","","","","","","","","","0","1","","15.2","","1978-10-27 00:00:00","","[Discoverer=Wild; DiscoveryRef=IAUC 3297; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"511"," 1978F","07:52:50.400","+73:19:17.00","","","Anon.           ","","","","","","","","","0","1","","18","","1978-11-02 00:00:00","","[Discoverer=Lovas; DiscoveryRef=IAUC 3305; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"512","SN 1978G","22:20:48.300","-46:01:23.00","SN II","","IC 5201         ","","","","","","","","","0","1","","12.9","","1978-11-24 00:00:00","","[Discoverer=Blades, Griffiths, Ward; DiscoveryRef=IAUC 3309; PositionRef=; Orig Type=II   ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"513"," 1978H","11:39:23.669","+56:16:00.91","","","NGC 3780        ","","","","","","","","","0","1","","16.5","","1978-11-07 00:00:00","","[Discoverer=Wild; DiscoveryRef=IAUC 3303; PositionRef=AJ 111, 2017; Orig Type=Unknown]",""
"514"," 1978I","21:41:27.800","-43:11:19.00","","","MCG -05-3-26    ","","","","","","","","","0","1","","21.4","","1978-07-25 00:00:00","","[Discoverer=Hawkins; DiscoveryRef=; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"515"," 1978J","22:26:13.020","-67:10:23.30","","","Anon.           ","","","","","","","","","0","1","","17.5","","1978-07-30 00:00:00","","[Discoverer=McNaught; DiscoveryRef=IAUC 5153; PositionRef=IAUC 5153; Orig Type=Unknown]",""
"516"," 1978K","03:17:39.000","-66:33:04.00","","","NGC 1313        ","","","","","","","","","0","1","","16","","1978-07-31 00:00:00","","[Discoverer=Ryder et al.; DiscoveryRef=IAUC 4950; PositionRef=IAUC 4950; Orig Type=Unknown]",""
"517"," 1978L","20:46:34.310","-53:19:10.31","","","Anon.           ","","","","","","","","","0","1","","18","","1978-08-25 00:00:00","","[Discoverer=McNaught; DiscoveryRef=IAUC 5682; PositionRef=IAUC 5682; Orig Type=Unknown]",""
"518"," 1979A","12:43:29.000","+11:35:17.00","","","NGC 4647        ","","","","","","","","","0","1","","15","","1979-01-25 00:00:00","","[Discoverer=Kimeridze; DiscoveryRef=IAUC 3322; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"519"," 1979B","11:50:43.400","+55:21:39.00","","","NGC 3913        ","","","","","","","","","0","1","","13.5","","1979-02-28 00:00:00","","[Discoverer=Rosino; DiscoveryRef=IAUC 3340; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"520","SN 1979C","12:22:58.630","+15:47:51.68","SN IIL","","NGC 4321        ","","","","","","","","","0","1","","12.1","","1979-04-19 00:00:00","","[Discoverer=Johnson; DiscoveryRef=IAUC 3348; PositionRef=AJ 111, 2017; Orig Type=II-L ]",""
