"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"762","SN 1990ah","00:26:10.421","+13:39:20.41","SN II","","UGC 249         ","","","","","","","","","0","1","","18","","1990-12-07 00:00:00","","[Discoverer=Pollas; DiscoveryRef=IAUC 5146; PositionRef=IAUC 5146; Orig Type=II?  ]",""
"763","SN 1990ai","07:20:10.390","+21:54:20.02","SN Ib/c","","Anon.           ","","","","","","","","","0","1","","19.5","","1990-11-26 00:00:00","","[Discoverer=Pollas; DiscoveryRef=IAUC 5147; PositionRef=IAUC 5147; Orig Type=Ib/c ]",""
"764","SN 1990aj","04:42:15.310","-20:25:18.01","SN Ib","","NGC 1640        ","","","","","","","","","0","1","","18","","1990-12-18 00:00:00","","[Discoverer=McNaught; DiscoveryRef=IAUC 5178; PositionRef=IAUC 5178; Orig Type=Ib   ]",""
"765"," 1990ak","13:24:54.919","-32:25:25.90","","","Anon.           ","","","","","","","","","0","1","","18","","1990-05-01 00:00:00","","[Discoverer=McNaught; DiscoveryRef=IAUC 5682; PositionRef=IAUC 5682; Orig Type=Unknown]",""
"766"," 1990al","19:09:56.640","+42:31:41.70","","","Anon.           ","","","","","","","","","0","1","","16.5","","1990-07-19 00:00:00","","[Discoverer=Mueller; DiscoveryRef=IAUC 7189; PositionRef=IAUC 7189; Orig Type=Unknown]",""
"767","SN 1990B","12:36:33.869","+11:14:30.08","SN Ib","","NGC 4568        ","","","","","","","","","0","1","","16","","1990-01-20 00:00:00","","[Discoverer=Perlmutter, Pennypacker; DiscoveryRef=IAUC 4949; PositionRef=IAUC 4979; Orig Type=Ib   ]",""
"768"," 1990C","08:04:23.900","+22:43:53.00","","","Anon.           ","","","","","","","","","0","1","","0","","","","[Discoverer=Pollas; compact H-II region; DiscoveryRef=IAUC 4950; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"769"," 1990D","13:43:25.800","+29:06:38.00","","","Anon.           ","","","","","","","","","0","1","","18.5","","1990-01-23 00:00:00","","[Discoverer=Pollas; DiscoveryRef=IAUC 4957; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"770","SN 1990E","02:39:28.500","-08:08:04.00","SN II","","NGC 1035        ","","","","","","","","","0","1","","16.7","","1990-02-15 00:00:00","","[Discoverer=Perlmutter, Pennypacker; DiscoveryRef=IAUC 4965; PositionRef=; Orig Type=II   ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"771"," 1990F","13:39:02.770","+32:09:21.10","","","Anon.           ","","","","","","","","","0","1","","18.7","","1990-02-24 00:00:00","","[Discoverer=Pollas; DiscoveryRef=IAUC 4969; PositionRef=IAUC 4969; Orig Type=Unknown]",""
"772","SN 1990G","11:21:03.900","+34:20:51.00","SN Ia","","IC 2735         ","","","","","","","","","0","1","","15","","1990-03-19 00:00:00","","[Discoverer=Mueller; DiscoveryRef=IAUC 4982; PositionRef=; Orig Type=Ia   ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"773","SN 1990H","10:36:15.079","+37:19:27.19","SN II","","NGC 3294        ","","","","","","","","","0","1","","16","","1990-04-09 00:00:00","","[Discoverer=Perlmutter, Pennypacker, et al.; DiscoveryRef=IAUC 4992; PositionRef=AJ 111, 2017; Orig Type=II   ]",""
"774"," 1990I","12:44:50.290","-40:43:36.80","","","NGC 4650        ","","","","","","","","","0","1","","16","","1990-04-27 00:00:00","","[Discoverer=Pizarro, Miranda, Pasquini, Leibundgut; DiscoveryRef=IAUC 5003; PositionRef=IAUC 5037; Orig Type=Unknown]",""
"775"," 1990J","12:16:20.300","+12:31:48.00","","","Anon.           ","","","","","","","","","0","1","","18","","1990-05-13 00:00:00","","[Discoverer=Mueller; DiscoveryRef=IAUC 5016; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"776"," 1990K","00:34:14.059","-27:47:46.72","","","NGC 150         ","","","","","","","","","0","1","","14","","1990-05-25 00:00:00","","[Discoverer=Evans; DiscoveryRef=IAUC 5022; PositionRef=IAUC 5024; Orig Type=Unknown]",""
"777"," 1990L","15:36:24.600","+22:30:07.00","","","UGC 9927        ","","","","","","","","","0","1","","19","","1990-05-18 00:00:00","","[Discoverer=Mueller; DiscoveryRef=IAUC 5028; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"778","SN 1990M","14:11:29.299","-05:02:35.99","SN Ia","","NGC 5493        ","","","","","","","","","0","1","","13.5","","1990-06-15 00:00:00","","[Discoverer=Evans; DiscoveryRef=IAUC 5033; PositionRef=IAUC 5034; Orig Type=Ia   ]",""
"779","SN 1990N","12:42:56.741","+13:15:24.01","SN Ia","","NGC 4639        ","","","","","","","","","0","1","","15.5","","1990-06-23 00:00:00","","[Discoverer=Thouvenot; DiscoveryRef=IAUC 5039; PositionRef=IAUC 5040; Orig Type=Ia   ]",""
