"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"2525","SN 2003ag","11:26:01.819","+01:59:02.80","SN Ia","","UGC 6440        ","","","","","","","","","0","1","","16.5","","2003-02-07 00:00:00","","[Discoverer=LOTOSS; DiscoveryRef=IAUC 8068; PositionRef=IAUC 8068; Orig Type=Ia   ]",""
"2526","SN 2003ah","04:43:08.539","+00:46:00.41","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.3","","2003-02-08 00:00:00","","[Discoverer=LOTOSS; DiscoveryRef=IAUC 8068; PositionRef=IAUC 8068; Orig Type=Ia   ]",""
"2527","SN 2003ai","13:00:58.680","+39:51:24.52","SN Ia","","IC 4062         ","","","","","","","","","0","1","","17","","2003-02-08 00:00:00","","[Discoverer=LOTOSS; DiscoveryRef=IAUC 8068; PositionRef=IAUC 8068; Orig Type=Ia   ]",""
"2528"," 2003aj","03:32:44.330","-27:55:06.38","","","Anon.           ","","","","","","","","","0","1","","25.7","","2003-02-03 00:00:00","","[Discoverer=GOODS Treasury Team, Hubble Higher-z Supernova Team; DiscoveryRef=IAUC 8069; PositionRef=IAUC 8069; Orig Type=Unknown]",""
"2529"," 2003ak","03:32:46.901","-27:54:49.28","","","Anon.           ","","","","","","","","","0","1","","25.8","","2003-02-03 00:00:00","","[Discoverer=GOODS Treasury Team, Hubble Higher-z Supernova Team; DiscoveryRef=IAUC 8069; PositionRef=IAUC 8069; Orig Type=Unknown]",""
"2530"," 2003al","03:32:05.390","-27:44:29.18","","","Anon.           ","","","","","","","","","0","1","","24.5","","2003-02-05 00:00:00","","[Discoverer=GOODS Treasury Team, Hubble Higher-z Supernova Team; DiscoveryRef=IAUC 8069; PositionRef=IAUC 8069; Orig Type=Unknown]",""
"2531","SN 2003am","13:20:43.570","-22:02:53.48","SN II","","ESO 576-G40     ","","","","","","","","","0","1","","17.8","","2003-02-09 00:00:00","","[Discoverer=LOTOSS; DiscoveryRef=IAUC 8069; PositionRef=IAUC 8069; Orig Type=II   ]",""
"2532","SN 2003an","13:27:53.549","+28:30:29.20","SN Ia","","MCG +05-32-22   ","","","","","","","","","0","1","","16.9","","2003-02-09 00:00:00","","[Discoverer=LOTOSS; DiscoveryRef=IAUC 8069; PositionRef=IAUC 8069; Orig Type=Ia   ]",""
"2533","SN 2003ao","09:45:48.461","-14:22:14.02","SN II","","NGC 2993        ","","","","","","","","","0","1","","17.3","","2003-02-10 00:00:00","","[Discoverer=LOTOSS; DiscoveryRef=IAUC 8070; PositionRef=IAUC 8070; Orig Type=II   ]",""
"2534","SN 2003ap","09:50:52.831","-21:51:10.12","SN Ia","","Anon.           ","","","","","","","","","0","1","","16.7","","2003-02-09 00:00:00","","[Discoverer=NEAT/Wood-Vasey et al.; DiscoveryRef=IAUC 8071; PositionRef=IAUC 8071; Orig Type=Ia   ]",""
