"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"3851","SN 2006ny","00:39:17.309","+00:05:02.11","SN IIP","","Anon.           ","","","","","","","","","0","1","","19.8","","2006-11-08 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 743; PositionRef=CBET  743; Orig Type=IIp  ]",""
"3852","SN 2006nz","00:56:29.210","-01:13:36.08","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.8","","2006-11-08 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 743; PositionRef=CBET  743; Orig Type=Ia   ]",""
"3853","SN 2006O","01:01:20.710","+31:30:09.40","SN II","","UGC 633         ","","","","","","","","","0","1","","17.2","","2006-01-22 00:00:00.000","","[Discoverer=Rich; DiscoveryRef=CBET 376; PositionRef=CBET  376; Orig Type=II?  ]",""
"3854","SN 2006oa","21:23:42.941","-00:50:36.49","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.7","","2006-11-11 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 743; PositionRef=CBET  743; Orig Type=Ia   ]",""
"3855","SN 2006ob","01:51:48.110","+00:15:48.31","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.9","","2006-11-13 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 743; PositionRef=IAUC 8778; Orig Type=Ia   ]",""
"3856","SN 2006oc","23:02:48.350","-00:52:35.11","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.3","","2006-10-17 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 745; PositionRef=CBET  745; Orig Type=Ia   ]",""
"3857","SN 2006od","02:07:54.310","-00:32:07.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.1","","2006-10-23 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 745; PositionRef=CBET  745; Orig Type=Ia   ]",""
"3858","SN 2006oe","23:21:27.000","+01:07:56.89","SN Ia","","Anon.           ","","","","","","","","","0","1","","22","","2006-10-28 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 745; PositionRef=CBET  745; Orig Type=Ia   ]",""
"3859","SN 2006of","00:32:25.860","-01:03:14.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.5","","2006-10-29 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 745; PositionRef=CBET  745; Orig Type=Ia   ]",""
"3860","SN 2006og","20:12:04.270","+00:34:14.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.8","","2006-10-29 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 745; PositionRef=CBET  745; Orig Type=Ia   ]",""
"3861","SN 2006oh","23:41:12.480","-01:06:20.92","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.2","","2006-10-29 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 745; PositionRef=CBET  745; Orig Type=Ia   ]",""
"3862","SN 2006oi","00:35:53.050","+00:15:30.31","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.3","","2006-10-31 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 745; PositionRef=CBET  745; Orig Type=Ia   ]",""
"3863","SN 2006oj","01:08:49.301","-00:59:22.42","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.2","","2006-10-31 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 745; PositionRef=CBET  745; Orig Type=Ia   ]",""
"3864","SN 2006ok","01:07:28.339","-00:16:09.70","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.8","","2006-11-01 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 745; PositionRef=CBET  745; Orig Type=Ia   ]",""
"3865","SN 2006ol","23:28:07.190","+00:51:22.90","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.6","","2006-11-01 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 745; PositionRef=CBET  745; Orig Type=Ia   ]",""
"3866","SN 2006om","01:22:18.881","+01:00:38.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.5","","2006-11-08 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 745; PositionRef=CBET  745; Orig Type=Ia   ]",""
"3867","SN 2006on","21:55:58.490","-01:04:12.68","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.7","","2006-11-11 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 745; PositionRef=CBET  745; Orig Type=Ia   ]",""
"3868","SN 2006oo","21:59:47.230","-00:43:59.59","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.1","","2006-11-11 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 745; PositionRef=CBET  745; Orig Type=Ia   ]",""
"3869","SN 2006op","21:21:31.860","+00:59:35.92","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.6","","2006-11-17 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 745; PositionRef=CBET  745; Orig Type=Ia?  ]",""
"3870","SN 2006oq","11:44:00.070","+19:58:38.32","SN Ia","","Anon.           ","","","","","","","","","0","1","","15.8","","2006-11-17 00:00:00.000","","[Discoverer=Christensen; DiscoveryRef=CBET 748; PositionRef=IAUC 8778; Orig Type=Ia   ]",""
"3871","SN 2006or","11:48:03.470","+30:21:24.01","SN Ia","","NGC 3891        ","","","","","","","","","0","1","","16.3","","2006-11-18 00:00:00.000","","[Discoverer=Puckett, Kroes; DiscoveryRef=CBET 749; PositionRef=IAUC 8779; Orig Type=Ia   ]",""
"3872","SN 2006os","02:55:01.010","+16:00:34.81","SN Ia","","UGC 2384        ","","","","","","","","","0","1","","17.2","","2006-11-21 00:00:00.000","","[Discoverer=Quimby, Castro; DiscoveryRef=CBET 751; PositionRef=IAUC 8779; Orig Type=Ia   ]",""
"3873","SN 2006ot","02:15:04.841","-20:45:58.21","SN Ia","","ESO 544-G31     ","","","","","","","","","0","1","","17.4","","2006-11-22 00:00:00.000","","[Discoverer=LOSS (Joubert, Li); DiscoveryRef=CBET 754; PositionRef=IAUC 8779; Orig Type=Ia   ]",""
"3874","SN 2006ou","11:37:13.099","+15:26:07.30","SN Ia","","UGC 6588        ","","","","","","","","","0","1","","16","","2006-11-22 00:00:00.000","","[Discoverer=Puckett, Peoples; DiscoveryRef=CBET 755; PositionRef=IAUC 8781; Orig Type=Ia   ]",""
"3875","SN 2006ov","12:21:55.301","+04:29:16.69","SN II","","NGC 4303        ","","","","","","","","","0","1","","14.9","","2006-11-24 00:00:00.000","","[Discoverer=Itagaki; DiscoveryRef=CBET 756; PositionRef=IAUC 8781; Orig Type=II   ]",""
"3876","SN 2006ow","07:35:37.440","+66:24:50.00","SN Ia","","UGC 3908        ","","","","","","","","","0","1","","17.7","","2006-11-26 00:00:00.000","","[Discoverer=Boles; DiscoveryRef=CBET 759; PositionRef=IAUC 8781; Orig Type=Ia   ]",""
"3877"," 2006ox","19:18:24.209","-60:30:09.90","","","NGC 6769        ","","","","","","","","","0","1","","15.3","","2006-11-26 00:00:00.000","","[Discoverer=Monard; DiscoveryRef=CBET 761; PositionRef=CBET  761; Orig Type=Unknown]",""
"3878","SN 2006oy","20:53:58.301","-00:21:36.22","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.4","","2006-10-12 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3879","SN 2006oz","22:08:53.561","+00:53:50.39","SN Ib","","Anon.           ","","","","","","","","","0","1","","22.3","","2006-10-20 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ib?  ]",""
"3880","SN 2006P","03:19:17.899","-12:06:18.29","SN Ia","","MCG -02-9-29    ","","","","","","","","","0","1","","17.5","","2006-01-23 00:00:00.000","","[Discoverer=LOSS; DiscoveryRef=IAUC 8662; PositionRef=IAUC 8662; Orig Type=Ia?  ]",""
"3881","SN 2006pa","02:32:23.950","-00:42:48.89","SN Ia","","Anon.           ","","","","","","","","","0","1","","22","","2006-10-22 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia?  ]",""
"3882","SN 2006pb","00:46:43.550","-01:01:58.51","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.9","","2006-10-23 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3883","SN 2006pc","01:44:10.579","-00:09:21.20","SN II","","Anon.           ","","","","","","","","","0","1","","22.5","","2006-10-28 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=II   ]",""
"3884","SN 2006pd","23:31:46.121","-00:40:05.02","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.1","","2006-11-08 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3885","SN 2006pe","00:23:09.170","-00:03:13.10","SN Ia","","Anon.           ","","","","","","","","","0","1","","21","","2006-11-09 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3886","SN 2006pf","01:41:45.130","-00:11:20.90","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.5","","2006-11-09 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3887","SN 2006pg","03:27:20.710","+01:05:22.81","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.1","","2006-11-09 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3888","SN 2006ph","21:34:33.480","-00:53:08.99","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.3","","2006-11-09 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3889","SN 2006pi","22:03:16.601","-00:36:24.59","SN Ia","","Anon.           ","","","","","","","","","0","1","","22","","2006-11-09 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3890","SN 2006pj","22:37:18.350","+00:44:17.30","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.2","","2006-11-09 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3891","SN 2006pk","23:04:59.849","-00:52:24.10","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.4","","2006-11-09 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3892","SN 2006pl","21:54:26.921","+00:35:18.71","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.9","","2006-11-11 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
"3893","SN 2006pm","21:54:50.280","+00:56:01.21","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.7","","2006-11-11 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 762; PositionRef=CBET  762; Orig Type=Ia   ]",""
