"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"71711","SN 2020aavu","21:55:12.250","-11:19:23.73","SN Ia","0.11","WISEA J215512.32-111924.7","","ALeRCE, ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","Global SN Project","ATLAS; Pan-STARRS1; ZTF","ZTF20actlvpy","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","FTN - FLOYDS-N","1","1","","20.4183","g-ZTF","2020-11-19 02:33:14.999","ALeRCE","",""
"71710","AT 2020aavt","14:13:57.840","+31:33:20.70","","","UGC 09107","0.050865","ALeRCE, ZTF, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS","","ATLAS; GaiaAlerts; ZTF","ZTF20actogyl","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam","","1","1","","18.2433","g-ZTF","2020-11-24 13:29:19.003","ALeRCE","",""
"71709","AT 2020aavs","05:05:15.964","-07:17:07.62","Varstar","","","","ASAS-SN, ZTF","ASAS-SN, ZTF","None","ASAS-SN; ZTF","ASASSN-20ot","ASASSN-1 - Brutus, ASASSN-5 - Payne-Gaposchkin, P48 - ZTF-Cam","Magellan-Baade - IMACS","1","1","","16.6","g-Sloan","2020-11-22 12:57:36.000","Stanek","",""
"71708","SN 2020aavr","08:59:49.113","+38:06:32.68","SN II","0.072475","","","ZTF","ZTF","Global SN Project","ZTF","ZTF18aacnlxz","P48 - ZTF-Cam","FTN - FLOYDS-N","1","1","","19.19","g-ZTF","2020-11-20 10:44:55.968","ZTF_AMPEL_COMPLETE","",""
"71707","AT 2020aavq","18:56:51.500","+53:40:08.87","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fjv","Gaia - Gaia-photometric","","1","1","","14.18","G-Gaia","2020-11-21 21:15:50.400","Gaia_Bot1","",""
"71705","AT 2020aavp","19:00:21.110","+00:34:31.22","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fju","Gaia - Gaia-photometric","","1","1","","18.71","G-Gaia","2020-11-22 10:04:48.000","Gaia_Bot1","",""
"71704","AT 2020aavo","07:04:04.700","-11:23:39.73","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fjt","Gaia - Gaia-photometric","","1","1","","18.34","G-Gaia","2020-11-21 17:38:24.000","Gaia_Bot1","",""
"71702","AT 2020aavn","07:39:49.418","+24:22:28.98","","","","","ATLAS, Pan-STARRS1","ATLAS, Pan-STARRS1","","ATLAS; Pan-STARRS1","ATLAS20bgag","ATLAS1 - ACAM1, PS1 - GPC1","","1","1","","19.008","cyan-ATLAS","2020-11-22 14:45:36.000","ATLAS_Bot1","",""
"71701","SN 2020aavm","07:46:43.679","+18:06:48.81","SN IIP","0.045","","","ATLAS, ZTF, Pan-STARRS1","ATLAS, ZTF, Pan-STARRS1","REFITT","ATLAS; Pan-STARRS1; ZTF","ATLAS20bgaf","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","SOAR - Goodman","1","1","","19.12","cyan-ATLAS","2020-11-22 14:47:02.400","ATLAS_Bot1","",""
"71700","AT 2020aavl","09:10:03.167","+35:17:00.85","","","","","ATLAS","ATLAS","","ATLAS","ATLAS20bgac","ATLAS1 - ACAM1","","1","1","","19.535","cyan-ATLAS","2020-11-22 14:18:14.400","ATLAS_Bot1","",""
"71699","AT 2020aavk","07:39:18.960","+25:24:40.79","","","","","ATLAS, GaiaAlerts","ATLAS, GaiaAlerts","","ATLAS; GaiaAlerts","ATLAS20bfzw","ATLAS1 - ACAM1, Gaia - Gaia-photometric","","1","1","","16.156","cyan-ATLAS","2020-11-22 14:45:36.000","ATLAS_Bot1","",""
"71698","AT 2020aavj","07:00:49.890","-08:56:06.50","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fjs","Gaia - Gaia-photometric","","1","1","","18.97","G-Gaia","2020-11-21 23:36:57.600","Gaia_Bot1","",""
"71697","AT 2020aavi","06:59:24.420","-09:25:59.74","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fjr","Gaia - Gaia-photometric","","1","1","","17.82","G-Gaia","2020-11-22 05:36:57.600","Gaia_Bot1","",""
"71696","AT 2020aavh","18:48:22.150","+51:12:17.82","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fjq","Gaia - Gaia-photometric","","1","1","","17.44","G-Gaia","2020-11-22 04:59:31.200","Gaia_Bot1","",""
"71695","AT 2020aavg","19:01:55.540","+14:09:16.06","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fjn","Gaia - Gaia-photometric","","1","1","","18.17","G-Gaia","2020-11-21 20:32:38.400","Gaia_Bot1","",""
"71694","AT 2020aavf","06:59:41.540","-04:53:22.63","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fjk","Gaia - Gaia-photometric","","1","1","","20.17","G-Gaia","2020-11-22 05:32:38.400","Gaia_Bot1","",""
"71693","AT 2020aave","19:01:08.940","+04:04:50.66","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fjj","Gaia - Gaia-photometric","","1","1","","18.25","G-Gaia","2020-11-22 02:21:07.200","Gaia_Bot1","",""
