"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"351"," 1969C","11:41:17.000","+47:41:40.00","","","NGC 3811        ","","","","","","","","","0","1","","13.8","","1969-02-09 00:00:00.000","","[Discoverer=Rosino, Jankovich; DiscoveryRef=IAUC 2134; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"352"," 1969D","05:17:40.200","+05:50:15.00","","","Anon.           ","","","","","","","","","0","1","","17.5","","1969-02-17 00:00:00.000","","[Discoverer=Kowal; DiscoveryRef=PASP 82, 736; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"353"," 1969E","12:34:02.200","+07:41:31.00","","","NGC 4526        ","","","","","","","","","0","1","","16","","1969-03-23 00:00:00.000","","[Discoverer=Chavira; DiscoveryRef=IAUC 2139; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"354"," 1969F","13:20:04.300","-17:07:30.00","","","VV 802","0.021001","","","","","","","","0","1","","16","","1969-04-12 00:00:00.000","","[Discoverer=Zwicky; DiscoveryRef=IAUC 2142; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"355"," 1969G","12:33:44.900","+05:53:35.00","","","Anon.           ","","","","","","","","","0","1","","18","","1969-04-13 00:00:00.000","","[Discoverer=Kowal; DiscoveryRef=PASP 82, 736; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"356"," 1969H","12:50:28.200","+25:30:21.00","","","NGC 4725        ","","","","","","","","","0","1","","15","","1969-06-17 00:00:00.000","","[Discoverer=Fairall; DiscoveryRef=IAUC 2155; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"357"," 1969I","15:57:49.400","+19:28:36.00","","","Anon.           ","","","","","","","","","0","1","","17","","1969-06-17 00:00:00.000","","[Discoverer=Kowal; DiscoveryRef=PASP 82, 736; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"358"," 1969J","01:26:30.000","+31:37:60.00","","","MCG +5-4-59","","","","","","","","","0","1","","17","","1969-10-04 00:00:00.000","","[Discoverer=Kowal; DiscoveryRef=PASP 82, 736; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"359"," 1969K","23:40:43.600","+26:49:19.00","","","UGC 12733       ","","","","","","","","","0","1","","17.5","","1969-11-03 00:00:00.000","","[Discoverer=Kowal; DiscoveryRef=PASP 82, 736; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"360","SN 1969L","02:43:45.300","+37:18:39.00","SN II","","NGC 1058        ","","","","","","","","","0","1","","12.8","","1969-12-02 00:00:00.000","","[Discoverer=Rosino; DiscoveryRef=IAUC 2194; PositionRef=; Orig Type=II   ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
