"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"71246","AT 2020aafd","02:52:49.083","+43:10:28.72","","","SDSS J025249.05+431028.7","0.129","ALeRCE","ZTF","","ZTF","ZTF20acreckb","P48 - ZTF-Cam","","1","1","","20.5101","g-ZTF","2020-11-15 05:13:10.998","ALeRCE","",""
"71245","AT 2020aafc","10:29:45.993","+09:38:49.64","","","SDSS J102945.78+093845.1","0.166","ALeRCE, ZTF, Pan-STARRS1","ZTF, Pan-STARRS1","","Pan-STARRS1; ZTF","ZTF20acrjfoc","P48 - ZTF-Cam, PS1 - GPC1","","1","1","","20.6594","g-ZTF","2020-11-15 12:04:28.004","ALeRCE","",""
"71244","SN 2020aafb","01:51:28.950","+22:49:44.08","SN IIn","0.078","SDSS J015129.00+224947.3","0.079","ALeRCE, ZTF, ATLAS, Pan-STARRS1, GaiaAlerts","ZTF, ATLAS, Pan-STARRS1, GaiaAlerts","ZTF","ATLAS; GaiaAlerts; Pan-STARRS1; ZTF","ZTF20acqqdkl","ATLAS1 - ACAM1, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","LT - SPRAT","1","1","","19.969","g-ZTF","2020-11-15 05:10:17.999","ALeRCE","",""
"71243","AT 2020aafa","11:42:54.255","+16:33:50.01","","","SDSS J114254.18+163351.2","0.58","ALeRCE, Fink, ZTF, ATLAS","ZTF, ATLAS","","ATLAS; ZTF","ZTF20acrjied","ATLAS1 - ACAM1, P48 - ZTF-Cam","","1","1","","20.2356","g-ZTF","2020-11-15 12:09:51.002","ALeRCE","",""
"71242","SN 2020aaez","01:37:54.851","+30:06:24.85","SN Ia","0.071354","WISEA J013754.86+300624.3","0.071354","ALeRCE, ZTF, ATLAS","ZTF, ATLAS","Global SN Project","ATLAS; ZTF","ZTF20acqzpta","ATLAS1 - ACAM1, P48 - ZTF-Cam","FTN - FLOYDS-N","1","1","","20.4325","g-ZTF","2020-11-15 05:10:58.996","ALeRCE","",""
"71241","AT 2020aaey","07:59:37.727","+04:10:45.03","","","SDSS J075937.85+041044.7","0.177","ALeRCE, Pan-STARRS1","ZTF, Pan-STARRS1","","Pan-STARRS1; ZTF","ZTF20acriuro","P48 - ZTF-Cam, PS1 - GPC1","","1","1","","20.4509","g-ZTF","2020-11-15 11:35:00.001","ALeRCE","",""
"71240","AT 2020aaex","00:45:53.633","+45:05:41.55","","","WISEA J004553.46+450542.0","","ALeRCE","ZTF","","ZTF","ZTF20acrdejm","P48 - ZTF-Cam","","1","1","","20.8868","g-ZTF","2020-11-15 05:24:51.002","ALeRCE","",""
"71239","AT 2020aaew","07:52:44.799","+35:26:35.84","","","WISEA J075244.72+352635.9","0.07619","ALeRCE","ZTF","","ZTF","ZTF19aaftveu","P48 - ZTF-Cam","","1","1","","20.5309","g-ZTF","2020-11-15 11:26:54.001","ALeRCE","",""
"71238","AT 2020aaev","09:33:27.869","+09:32:00.14","","","WISEA J093327.87+093201.0","0.049954","ALeRCE","ZTF","","ZTF","ZTF20acrjdkq","P48 - ZTF-Cam","","1","1","","19.9571","r-ZTF","2020-11-15 12:35:57.002","ALeRCE","",""
"71237","SN 2020aaeu","00:27:20.376","+39:29:51.90","SN Ia","0.07","SDSS J002720.81+392953.0","0.078","ALeRCE, ATLAS, ZTF, Fink, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","ZTF","ATLAS; Pan-STARRS1; ZTF","ZTF20acrdemq","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","20.9082","g-ZTF","2020-11-15 04:53:28.000","ALeRCE","",""
