"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"3413","SN 2005lh","21:55:48.341","+01:10:50.92","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.1","","2005-11-04 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 315; PositionRef=CBET  315; Orig Type=Ia   ]",""
"3414","SN 2005li","22:23:15.449","+00:15:10.91","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.6","","2005-11-04 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 315; PositionRef=CBET  315; Orig Type=Ia   ]",""
"3415","SN 2005lj","01:57:43.030","-00:10:45.98","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.5","","2005-11-07 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 315; PositionRef=CBET  315; Orig Type=Ia   ]",""
"3416","SN 2005lk","21:59:49.430","-01:11:37.28","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.7","","2005-11-08 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 315; PositionRef=CBET  315; Orig Type=Ia   ]",""
"3417","SN 2005ll","22:28:06.869","-01:07:41.41","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.5","","2005-11-08 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 315; PositionRef=CBET  315; Orig Type=Ia   ]",""
"3418","SN 2005lm","00:15:04.910","+00:21:18.50","SN II","","Anon.           ","","","","","","","","","0","1","","21","","2005-11-10 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 315; PositionRef=CBET  315; Orig Type=II?  ]",""
"3419","SN 2005ln","00:27:00.120","-00:35:11.80","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.4","","2005-11-20 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 315; PositionRef=CBET  315; Orig Type=Ia   ]",""
"3420","SN 2005lo","00:37:11.861","-01:12:12.31","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.9","","2005-11-24 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 315; PositionRef=CBET  315; Orig Type=Ia   ]",""
"3421","SN 2005lp","01:47:42.799","+00:12:25.99","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.2","","2005-11-24 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 315; PositionRef=CBET  315; Orig Type=Ia   ]",""
"3422","SN 2005lq","02:41:36.041","+00:12:18.11","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.7","","2005-11-24 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 315; PositionRef=CBET  315; Orig Type=Ia   ]",""
"3423","SN 2005lr","07:11:39.031","-26:42:20.20","SN Ic","","ESO 492-G2      ","","","","","","","","","0","1","","18.5","","2005-12-04 00:00:00.000","","[Discoverer=LOSS; DiscoveryRef=IAUC 8641; PositionRef=IAUC 8641; Orig Type=Ic   ]",""
"3424","SN 2005ls","02:54:15.970","+42:43:29.78","SN Ia","","MCG +07-7-1     ","","","","","","","","","0","1","","15.8","","2005-12-09 00:00:00.000","","[Discoverer=Armstrong; DiscoveryRef=IAUC 8643; PositionRef=IAUC 8643; Orig Type=Ia   ]",""
"3425","SN 2005lt","11:42:26.210","+20:07:05.02","SN Ia","","MCG +03-30-51   ","","","","","","","","","0","1","","15.7","","2005-12-10 00:00:00.000","","[Discoverer=LOSS; DiscoveryRef=IAUC 8645; PositionRef=IAUC 8645; Orig Type=Ia   ]",""
"3426","SN 2005lu","02:36:03.710","-17:15:50.00","SN Ia","","MCG -03-07-40   ","","","","","","","","","0","1","","17.1","","2005-12-11 00:00:00.000","","[Discoverer=LOSS; DiscoveryRef=IAUC 8645; PositionRef=IAUC 8645; Orig Type=Ia   ]",""
"3427"," 2005lv","04:08:56.470","+27:11:50.78","","","UGC 2964        ","","","","","","","","","0","1","","18.7","","2005-12-06 00:00:00.000","","[Discoverer=Puckett, Gagliano; DiscoveryRef=IAUC 8645; PositionRef=IAUC 8645; Orig Type=Unknown]",""
"3428","SN 2005lw","11:08:03.209","-12:29:09.38","SN II","","IC 672          ","","","","","","","","","0","1","","18.8","","2005-12-14 00:00:00.000","","[Discoverer=LOSS; DiscoveryRef=CBET 318; PositionRef=IAUC 8646; Orig Type=II   ]",""
"3429","SN 2005lx","02:22:39.010","+28:15:07.09","SN II","","IC 221          ","","","","","","","","","0","1","","16.9","","2005-12-19 00:00:00.000","","[Discoverer=Ichimura, Boles; DiscoveryRef=CBET 322; PositionRef=IAUC 8646; Orig Type=II?  ]",""
"3430","SN 2005ly","01:23:28.841","+30:46:45.70","SN IIn","","UGC 934         ","","","","","","","","","0","1","","18.6","","2005-12-21 00:00:00.000","","[Discoverer=Puckett, Sostero; DiscoveryRef=CBET 325; PositionRef=IAUC 8646; Orig Type=IIn  ]",""
"3431","SN 2005lz","02:10:49.759","+34:58:58.19","SN Ia","","UGC 1666        ","","","","","","","","","0","1","","17.8","","2005-12-24 00:00:00.000","","[Discoverer=Puckett, Gagliano; DiscoveryRef=CBET 329; PositionRef=IAUC 8646; Orig Type=Ia   ]",""
"3432","SN 2005M","09:37:32.359","+23:12:02.70","SN Ia","","NGC 2930        ","","","","","","","","","0","1","","18.8","","2005-01-19 00:00:00.000","","[Discoverer=Puckett, George; DiscoveryRef=IAUC 8470; PositionRef=IAUC 8470; Orig Type=Ia   ]",""
"3433","SN 2005ma","04:49:53.909","-10:45:23.40","SN IIn","","MCG -02-13-13   ","","","","","","","","","0","1","","17.9","","2005-12-24 00:00:00.000","","[Discoverer=Puckett, Orff; DiscoveryRef=CBET 329; PositionRef=IAUC 8647; Orig Type=IIn? ]",""
"3434","SN 2005mb","13:05:52.459","+41:42:59.00","SN II","","NGC 4963        ","","","","","","","","","0","1","","19.3","","2005-12-21 00:00:00.000","","[Discoverer=Puckett, Ceravolo; DiscoveryRef=CBET 330; PositionRef=IAUC 8647; Orig Type=II   ]",""
"3435","SN 2005mc","08:27:06.360","+21:38:45.60","SN Ia","","UGC 4414        ","","","","","","","","","0","1","","17","","2005-12-23 00:00:00.000","","[Discoverer=THCA Supernova Survey [Bian et al.]; DiscoveryRef=CBET 331; PositionRef=IAUC 8647; Orig Type=Ia   ]",""
"3436","SN 2005md","06:47:19.111","+33:34:24.89","SN II","","NGC 2274        ","","","","","","","","","0","1","","18.1","","2005-12-25 00:00:00.000","","[Discoverer=LOSS; DiscoveryRef=CBET 332; PositionRef=IAUC 8647; Orig Type=II?  ]",""
"3437","SN 2005me","01:30:09.221","-42:41:07.01","SN II","","ESO 244-31      ","","","","","","","","","0","1","","17.5","","2005-12-23 00:00:00.000","","[Discoverer=Monard; DiscoveryRef=CBET 333; PositionRef=IAUC 8647; Orig Type=II   ]",""
"3438","SN 2005mf","09:08:42.329","+44:48:51.41","SN Ic","","UGC 4798        ","","","","","","","","","0","1","","17.4","","2005-12-25 00:00:00.000","","[Discoverer=THCA Supernova Survey; DiscoveryRef=CBET 335; PositionRef=IAUC 8648; Orig Type=Ic   ]",""
"3439","SN 2005mg","00:16:44.210","+07:04:19.81","SN II","","UGC 155         ","","","","","","","","","0","1","","16.2","","2005-12-27 00:00:00.000","","[Discoverer=Newton, Puckett; DiscoveryRef=CBET 336; PositionRef=IAUC 8648; Orig Type=II   ]",""
"3440","SN 2005mh","02:44:56.681","+00:12:12.89","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.1","","2005-10-31 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 339; PositionRef=CBET  339; Orig Type=Ia?  ]",""
"3441","SN 2005mi","22:21:02.650","-00:44:53.41","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.6","","2005-11-01 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 339; PositionRef=CBET  339; Orig Type=Ia   ]",""
"3442","SN 2005mj","21:31:49.440","-01:04:09.80","SN IIn","","Anon.           ","","","","","","","","","0","1","","22.5","","2005-11-03 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 339; PositionRef=CBET  339; Orig Type=IIn? ]",""
"3443","SN 2005mk","22:42:40.639","+00:49:58.91","SN II","","Anon.           ","","","","","","","","","0","1","","21.9","","2005-11-08 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 339; PositionRef=CBET  339; Orig Type=II   ]",""
"3444","SN 2005ml","02:14:04.421","-00:14:21.08","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.5","","2005-11-14 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 339; PositionRef=CBET  339; Orig Type=Ia   ]",""
"3445","SN 2005mm","00:13:09.550","+01:08:43.91","SN Ib","","Anon.           ","","","","","","","","","0","1","","22.2","","2005-11-20 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 339; PositionRef=CBET  339; Orig Type=Ib   ]",""
"3446","SN 2005mn","03:49:18.439","-00:41:31.42","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.2","","2005-11-23 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 339; PositionRef=CBET  339; Orig Type=Ia   ]",""
"3447","SN 2005mo","03:50:12.900","-00:14:24.79","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.5","","2005-11-23 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 339; PositionRef=CBET  339; Orig Type=Ia   ]",""
"3448","SN 2005mp","01:04:45.679","+00:03:20.30","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.3","","2005-11-24 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 339; PositionRef=CBET  339; Orig Type=Ia   ]",""
"3449","SN 2005mq","23:20:21.790","-00:20:59.60","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.4","","2005-11-27 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 339; PositionRef=CBET  339; Orig Type=Ia   ]",""
"3450","SN 2005mr","12:36:32.251","+62:15:14.51","SN Ia","","Anon.           ","","","","","","","","","0","1","","24.2","","2005-12-13 00:00:00.000","","[Discoverer=Meurer et al.; DiscoveryRef=CBET 340; PositionRef=CBET  340; Orig Type=Ia?  ]",""
