"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"1162","SN 1997A","04:31:33.389","-61:07:10.42","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.5","","1997-01-03 00:00:00","","[Discoverer=Maza et al.; DiscoveryRef=IAUC 6531; PositionRef=IAUC 6531; Orig Type=Ia   ]",""
"1163","SN 1997aa","04:51:53.599","-04:57:36.00","SN II","","IC 2102         ","","","","","","","","","0","1","","17","","1997-03-01 00:00:00","","[Discoverer=BAO Supernova Survey; DiscoveryRef=IAUC 6572; PositionRef=IAUC 6572; Orig Type=II   ]",""
"1164","SN 1997ab","09:51:00.401","+20:04:23.99","SN IIP","","Anon.           ","","","","","","","","","0","1","","16.2","","1997-02-28 00:00:00","","[Discoverer=Hagen, Reimers; DiscoveryRef=IAUC 6589; PositionRef=IAUC 6589; Orig Type=IIp  ]",""
"1165","SN 1997ac","08:24:05.210","+04:11:22.60","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.1","","1997-02-10 00:00:00","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6596; PositionRef=IAUC 6596; Orig Type=Ia   ]",""
"1166"," 1997ad","08:22:32.640","+04:09:57.71","","","Anon.           ","","","","","","","","","0","1","","22.8","","1997-03-05 00:00:00","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6596; PositionRef=IAUC 6596; Orig Type=Unknown]",""
"1167"," 1997ae","08:23:58.680","+03:47:53.92","","","Anon.           ","","","","","","","","","0","1","","23.9","","1997-03-05 00:00:00","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6596; PositionRef=IAUC 6596; Orig Type=Unknown]",""
"1168","SN 1997af","08:23:52.670","+04:08:44.02","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.3","","1997-03-05 00:00:00","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6596; PositionRef=IAUC 6596; Orig Type=Ia   ]",""
"1169","SN 1997ag","09:58:53.350","-00:20:29.00","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.2","","1997-03-05 00:00:00","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6596; PositionRef=IAUC 6596; Orig Type=Ia   ]",""
"1170","SN 1997ah","10:00:02.921","-00:23:30.70","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.6","","1997-03-05 00:00:00","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6596; PositionRef=IAUC 6596; Orig Type=Ia?  ]",""
"1171","SN 1997ai","10:48:57.610","+00:31:50.02","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.3","","1997-03-05 00:00:00","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6596; PositionRef=IAUC 6596; Orig Type=Ia   ]",""
"1172","SN 1997aj","10:55:52.980","-03:59:02.29","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.8","","1997-03-05 00:00:00","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6596; PositionRef=IAUC 6596; Orig Type=Ia   ]",""
"1173","SN 1997ak","10:56:53.150","-04:13:50.92","SN Ia","","Anon.           ","","","","","","","","","0","1","","24.4","","1997-03-05 00:00:00","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6596; PositionRef=IAUC 6596; Orig Type=Ia?  ]",""
"1174","SN 1997al","10:57:30.310","-03:14:49.70","SN Ia","","Anon.           ","","","","","","","","","0","1","","24","","1997-03-05 00:00:00","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6596; PositionRef=IAUC 6596; Orig Type=Ia   ]",""
"1175","SN 1997am","10:57:31.519","-03:13:48.29","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.9","","1997-03-05 00:00:00","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6596; PositionRef=IAUC 6596; Orig Type=Ia   ]",""
"1176"," 1997an","10:57:43.970","-03:47:18.20","","","Anon.           ","","","","","","","","","0","1","","24.3","","1997-03-05 00:00:00","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6596; PositionRef=IAUC 6596; Orig Type=Unknown]",""
"1177"," 1997ao","13:47:05.419","+02:08:59.50","","","Anon.           ","","","","","","","","","0","1","","24.3","","1997-03-05 00:00:00","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6596; PositionRef=IAUC 6596; Orig Type=Unknown]",""
"1178","SN 1997ap","13:47:09.900","+02:23:57.52","SN Ia","","Anon.           ","","","","","","","","","0","1","","24.2","","1997-03-05 00:00:00","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6596; PositionRef=IAUC 6596; Orig Type=Ia   ]",""
"1179"," 1997aq","13:47:09.900","+02:27:37.19","","","Anon.           ","","","","","","","","","0","1","","24.3","","1997-03-05 00:00:00","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6596; PositionRef=IAUC 6596; Orig Type=Unknown]",""
"1180"," 1997ar","13:47:31.980","+02:26:16.01","","","Anon.           ","","","","","","","","","0","1","","23","","1997-03-05 00:00:00","","[Discoverer=Supernova Cosmology Project; DiscoveryRef=IAUC 6596; PositionRef=IAUC 6596; Orig Type=Unknown]",""
"1181","SN 1997as","08:24:09.461","-00:48:08.21","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.1","","1997-03-08 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6602; PositionRef=IAUC 6602; Orig Type=Ia   ]",""
"1182"," 1997at","10:43:37.630","-00:49:06.49","","","Anon.           ","","","","","","","","","0","1","","21.6","","1997-03-08 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6602; PositionRef=IAUC 6602; Orig Type=Unknown]",""
"1183"," 1997au","11:50:04.241","+10:45:22.39","","","Anon.           ","","","","","","","","","0","1","","23","","1997-03-08 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6602; PositionRef=IAUC 6602; Orig Type=Unknown]",""
"1184"," 1997av","10:23:11.239","+04:13:44.51","","","Anon.           ","","","","","","","","","0","1","","21.4","","1997-03-08 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6602; PositionRef=IAUC 6602; Orig Type=Unknown]",""
"1185"," 1997aw","10:23:28.210","+04:07:11.10","","","Anon.           ","","","","","","","","","0","1","","22.7","","1997-03-08 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6602; PositionRef=IAUC 6602; Orig Type=Unknown]",""
"1186"," 1997ax","11:18:02.050","+00:02:10.50","","","Anon.           ","","","","","","","","","0","1","","21.8","","1997-03-08 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6602; PositionRef=IAUC 6602; Orig Type=Unknown]",""
"1187"," 1997ay","11:26:10.339","-00:36:26.89","","","Anon.           ","","","","","","","","","0","1","","23","","1997-03-08 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6602; PositionRef=IAUC 6602; Orig Type=Unknown]",""
"1188","SN 1997az","11:23:05.570","-00:15:55.58","SN II","","Anon.           ","","","","","","","","","0","1","","19","","1997-03-08 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6602; PositionRef=IAUC 6602; Orig Type=II   ]",""
"1189","SN 1997B","05:53:02.969","-17:52:23.48","SN Ic","","IC 438          ","","","","","","","","","0","1","","16.5","","1997-01-13 00:00:00","","[Discoverer=Gabrijelcic; DiscoveryRef=IAUC 6535; PositionRef=IAUC 6546; Orig Type=Ic   ]",""
"1190"," 1997ba","12:27:38.340","+00:13:31.01","","","Anon.           ","","","","","","","","","0","1","","22.5","","1997-03-08 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6602; PositionRef=IAUC 6602; Orig Type=Unknown]",""
"1191","SN 1997bb","12:29:00.720","+00:09:11.30","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.1","","1997-03-08 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6602; PositionRef=IAUC 6602; Orig Type=Ia   ]",""
"1192","SN 1997bc","11:59:08.270","-00:33:20.59","SN II","","Anon.           ","","","","","","","","","0","1","","22.1","","1997-03-08 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6602; PositionRef=IAUC 6602; Orig Type=II   ]",""
"1193","SN 1997bd","12:40:28.750","-00:05:41.78","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.1","","1997-03-08 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6602; PositionRef=IAUC 6602; Orig Type=Ia   ]",""
"1194"," 1997be","12:40:40.781","-00:23:21.80","","","Anon.           ","","","","","","","","","0","1","","23.1","","1997-03-08 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6602; PositionRef=IAUC 6602; Orig Type=Unknown]",""
"1195"," 1997bf","13:41:48.350","+00:06:11.99","","","Anon.           ","","","","","","","","","0","1","","20.4","","1997-03-08 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6602; PositionRef=IAUC 6602; Orig Type=Unknown]",""
"1196","SN 1997bg","12:40:39.521","-00:24:02.70","SN II","","Anon.           ","","","","","","","","","0","1","","23.5","","1997-03-08 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6602; PositionRef=IAUC 6602; Orig Type=II   ]",""
"1197","SN 1997bh","13:44:35.969","-00:19:49.30","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.3","","1997-03-08 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6602; PositionRef=IAUC 6602; Orig Type=Ia   ]",""
"1198"," 1997bi","10:11:28.879","-13:12:55.40","","","Anon.           ","","","","","","","","","0","1","","23.3","","1997-03-09 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6602; PositionRef=IAUC 6602; Orig Type=Unknown]",""
"1199","SN 1997bj","10:42:26.650","+00:01:35.40","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.8","","1997-03-09 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6602; PositionRef=IAUC 6602; Orig Type=Ia   ]",""
"1200","SN 1997bk","10:42:02.110","+00:01:48.22","SN II","","Anon.           ","","","","","","","","","0","1","","22.4","","1997-03-09 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6602; PositionRef=IAUC 6602; Orig Type=II   ]",""
