"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"3801","SN 2006mb","02:30:54.300","-08:57:42.08","SN Ia","","Anon.           ","","","","","","","","","0","1","","21.6","","2006-10-13 00:00:00.000","","[Discoverer=ESSENCE; DiscoveryRef=CBET 717; PositionRef=CBET  717; Orig Type=Ia   ]",""
"3802","SN 2006mc","02:32:02.599","-09:07:21.22","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.3","","2006-10-13 00:00:00.000","","[Discoverer=ESSENCE; DiscoveryRef=CBET 717; PositionRef=CBET  717; Orig Type=Ia   ]",""
"3803","SN 2006md","01:11:31.490","+00:24:34.20","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.2","","2006-10-15 00:00:00.000","","[Discoverer=ESSENCE; DiscoveryRef=CBET 717; PositionRef=CBET  717; Orig Type=Ia   ]",""
"3804","SN 2006me","01:14:47.191","+00:10:13.30","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.5","","2006-10-15 00:00:00.000","","[Discoverer=ESSENCE; DiscoveryRef=CBET 717; PositionRef=CBET  717; Orig Type=Ia   ]",""
"3805","SN 2006mf","02:30:37.320","-07:57:04.39","SN Ia","","Anon.           ","","","","","","","","","0","1","","20.9","","2006-10-15 00:00:00.000","","[Discoverer=ESSENCE; DiscoveryRef=CBET 717; PositionRef=CBET  717; Orig Type=Ia   ]",""
"3806","SN 2006mg","02:31:37.750","-08:06:40.21","SN Ia","","Anon.           ","","","","","","","","","0","1","","22","","2006-10-15 00:00:00.000","","[Discoverer=ESSENCE; DiscoveryRef=CBET 717; PositionRef=CBET  717; Orig Type=Ia   ]",""
"3807","SN 2006mh","01:15:13.390","+00:23:57.30","SN Ia","","Anon.           ","","","","","","","","","0","1","","22","","2006-10-17 00:00:00.000","","[Discoverer=ESSENCE; DiscoveryRef=CBET 717; PositionRef=CBET  717; Orig Type=Ia   ]",""
"3808","SN 2006mi","02:05:55.039","-04:00:53.21","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.4","","2006-10-19 00:00:00.000","","[Discoverer=ESSENCE; DiscoveryRef=CBET 717; PositionRef=CBET  717; Orig Type=Ia   ]",""
"3809","SN 2006mj","02:09:03.041","-03:28:27.80","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.1","","2006-10-19 00:00:00.000","","[Discoverer=ESSENCE; DiscoveryRef=CBET 717; PositionRef=CBET  717; Orig Type=Ia   ]",""
"3810","SN 2006mk","02:30:16.910","-08:40:47.32","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.4","","2006-10-19 00:00:00.000","","[Discoverer=ESSENCE; DiscoveryRef=CBET 717; PositionRef=CBET  717; Orig Type=Ia   ]",""
