"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"151"," 1955R","12:34:42.490","+49:19:54.80","","","UGC 7740        ","","","","","","","","","0","1","","21","","1955-04-24 00:00:00","","[Discoverer=Mueller; DiscoveryRef=IAUC 5525; PositionRef=IAUC 6510; Orig Type=Unknown]",""
"152"," 1955S","15:36:40.610","+43:32:38.00","","","IC 4564         ","","","","","","","","","0","1","","17.5","","1955-04-01 00:00:00","","[Discoverer=Mueller; DiscoveryRef=IAUC 5761; PositionRef=IAUC 6510; Orig Type=Unknown]",""
"153","SN 1956A","11:57:35.100","+53:22:00.00","SN Ia","","NGC 3992        ","","","","","","","","","0","1","","12.3","","1956-03-08 00:00:00","","[Discoverer=Gates; DiscoveryRef=; PositionRef=; Orig Type=Ia   ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"154"," 1956B","12:54:33.100","-12:34:36.00","","","NGC 4782        ","","","","","","","","","0","1","","18.6","","1956-04-08 00:00:00","","[Discoverer=Zwicky; DiscoveryRef=PASP 82, 736; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"155"," 1956C","00:00:00.000","+00:00:00.00","","","Anon.           ","","","","","","","","","0","1","","0","","","","[Discoverer=Zwicky; Is minor planet 1988 XB5; DiscoveryRef=PASP 83, 307; PositionRef=; Orig Type=Unknown]  1956C = MP 1988 XB5 (according to http://www.rochesterastronomy.org)",""
"156"," 1956D","13:07:49.800","-00:51:12.00","","","IC 850          ","","","","","","","","","0","1","","19.2","","1956-02-11 00:00:00","","[Discoverer=Zwicky; DiscoveryRef=PASP 84, 844; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"157"," 1956E","11:31:01.400","-15:58:38.00","","","Anon.           ","","","","","","","","","0","1","","19.5","","1956-02-10 00:00:00","","[Discoverer=Zwicky; DiscoveryRef=PASP 84, 844; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"158"," 1956F","13:23:00.900","+06:48:20.00","","","Anon.           ","","","","","","","","","0","1","","19.6","","1956-03-10 00:00:00","","[Discoverer=Zwicky; DiscoveryRef=PASP 85, 427; PositionRef=PASP 85, 427; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"159"," 1956G","13:17:08.100","+02:20:17.00","","","FGC 1590","","","","","","","","","0","1","","19.3","","1956-03-10 00:00:00","","[Discoverer=Zwicky; DiscoveryRef=PASP 85, 427; PositionRef=PASP 85, 427; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"160"," 1956H","13:20:44.600","+02:16:28.00","","","FGC 1600","","","","","","","","","0","1","","19.3","","1956-02-11 00:00:00","","[Discoverer=Zwicky; DiscoveryRef=PASP 85, 427; PositionRef=PASP 85, 427; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"161"," 1956I","13:17:46.000","-01:33:49.00","","","Anon.           ","","","","","","","","","0","1","","20.2","","1956-04-09 00:00:00","","[Discoverer=Zwicky; DiscoveryRef=PASP 86, 516; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"162"," 1956J","13:10:46.600","+00:01:58.00","","","CGCG 16-16","","","","","","","","","0","1","","19.8","","1956-04-09 00:00:00","","[Discoverer=Zwicky; DiscoveryRef=PASP 86, 516; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"163"," 1956K","13:13:46.100","-03:35:54.00","","","CGCG 16-23","","","","","","","","","0","1","","19.6","","1956-02-11 00:00:00","","[Discoverer=Zwicky; DiscoveryRef=PASP 86, 516; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
