"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"251"," 1963K","11:23:39.701","+53:50:12.70","","","NGC 3656        ","","","","","","","","","0","1","","15","","1963-06-15 00:00:00.000","","[Discoverer=Bertaud; DiscoveryRef=IAUC 1834; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"252"," 1963L","02:47:53.549","+37:31:52.72","","","UGC 2259        ","","","","","","","","","0","1","","15","","1963-06-26 00:00:00.000","","[Discoverer=Reaves; DiscoveryRef=PASP 76, 325; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"253"," 1963M","12:57:57.701","+28:03:34.31","","","Anon.           ","","","","","","","","","0","1","","15.9","","1963-06-19 00:00:00.000","","[Discoverer=Reaves; DiscoveryRef=PASP 76, 325; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"254"," 1963N","01:26:19.361","+34:42:05.00","","","NGC 536         ","","","","","","","","","0","1","","17.7","","1963-06-27 00:00:00.000","","[Discoverer=Gates; DiscoveryRef=PASP 76, 325; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"255"," 1963O","15:15:16.030","+55:30:52.88","","","NGC 5905        ","","","","","","","","","0","1","","16","","1963-08-17 00:00:00.000","","[Discoverer=Wild; DiscoveryRef=IAUC 1842; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"256"," 1963P","02:46:02.100","-07:34:50.48","","","NGC 1084        ","","","","","","","","","0","1","","14","","1963-09-18 00:00:00.000","","[Discoverer=Wild; DiscoveryRef=IAUC 1843; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"257"," 1963Q","16:06:40.351","+17:11:32.60","","","IC 1195         ","","","","","","","","","0","1","","17","","1963-09-14 00:00:00.000","","[Discoverer=Reaves; DiscoveryRef=PASP 76, 325; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"258"," 1963R","02:36:15.701","+35:57:11.30","","","Anon.           ","","","","","","","","","0","1","","16.8","","1963-10-11 00:00:00.000","","[Discoverer=Kowal; DiscoveryRef=PASP 76, 325; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"259"," 1963S","01:23:38.059","+01:33:43.81","","","Anon.           ","","","","","","","","","0","1","","15","","1963-12-06 00:00:00.000","","[Discoverer=Chavira; DiscoveryRef=IAUC 1850; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"260"," 1963T","01:24:24.490","+34:02:39.41","","","Anon.           ","","","","","","","","","0","1","","17.5","","1963-10-21 00:00:00.000","","[Discoverer=Kowal; DiscoveryRef=PASP 76, 325; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"261"," 1963U","09:53:18.110","+36:05:20.00","","","Anon.           ","","","","","","","","","0","1","","15","","1963-12-16 00:00:00.000","","[Discoverer=Kowal; DiscoveryRef=PASP 76, 325; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"262"," 1963V","02:34:31.330","-06:04:42.82","","","Anon.           ","","","","","","","","","0","1","","16","","1963-09-21 00:00:00.000","","[Discoverer=Kowal; DiscoveryRef=PASP 76, 325; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"263"," 1963W","02:31:00.890","+43:58:38.10","","","Anon.           ","","","","","","","","","0","1","","17","","1963-08-25 00:00:00.000","","[Discoverer=Kowal; DiscoveryRef=PASP 76, 325; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"264"," 1963X","12:13:02.400","+21:00:25.00","","","Anon.           ","","","","","","","","","0","1","","16","","1963-03-02 00:00:00.000","","[Discoverer=Hoffmeister; DiscoveryRef=IBVS 30; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"265"," 1964A","11:20:54.500","+53:11:48.00","","","NGC 3631        ","","","","","","","","","0","1","","17","","1964-02-04 00:00:00.000","","[Discoverer=Wild; DiscoveryRef=IBVS 113; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"266"," 1964B","03:18:02.500","+40:21:44.00","","","UGC 2646        ","","","","","","","","","0","1","","16.7","","1964-02-08 00:00:00.000","","[Discoverer=Kowal; DiscoveryRef=PASP 76, 325; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"267"," 1964C","16:06:06.859","+17:27:34.70","","","IC 1188         ","","","","","","","","","0","1","","17.3","","1964-02-10 00:00:00.000","","[Discoverer=Zwicky; DiscoveryRef=PASP 76, 325; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"268"," 1964D","13:00:39.500","-14:40:01.00","","","NGC 4887        ","","","","","","","","","0","1","","16.5","","1964-02-13 00:00:00.000","","[Discoverer=Haro; DiscoveryRef=IAUC 1856; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"269","SN 1964E","11:59:21.000","+52:42:59.00","SN Ia","","UGC 6983        ","","","","","","","","","0","1","","12.9","","1964-03-12 00:00:00.000","","[Discoverer=Lovas; DiscoveryRef=IAUC 1858; PositionRef=; Orig Type=Ia   ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"270","SN 1964F","12:21:53.000","+04:28:27.00","SN II","","NGC 4303        ","","","","","","","","","0","1","","14","","","","[Discoverer=Rosino; DiscoveryRef=IAUC 1868; PositionRef=; Orig Type=II   ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"271"," 1964G","16:23:38.189","+39:12:23.62","","","Anon.           ","","","","","","","","","0","1","","16","","1964-06-02 00:00:00.000","","[Discoverer=Kowal; DiscoveryRef=PASP 76, 325; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"272","SN 1964H","22:28:24.060","+30:17:23.50","SN II","","NGC 7292        ","","","","","","","","","0","1","","14.8","","1964-06-14 00:00:00.000","","[Discoverer=Gates; DiscoveryRef=IAUC 1870; PositionRef=PASP 105, 1250; Orig Type=II   ]",""
"273"," 1964I","16:23:07.039","+41:14:11.80","","","Anon.           ","","","","","","","","","0","1","","18","","1964-09-29 00:00:00.000","","[Discoverer=Kowal; DiscoveryRef=PASP 76, 325; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"274"," 1964J","00:36:08.120","-09:53:39.00","","","Anon.           ","","","","","","","","","0","1","","17","","1964-10-11 00:00:00.000","","[Discoverer=Chavira; DiscoveryRef=IAUC 1877; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"275"," 1964K","23:14:48.019","+07:42:59.18","","","Anon.           ","","","","","","","","","0","1","","18","","1964-11-25 00:00:00.000","","[Discoverer=Kowal; DiscoveryRef=PASP 76, 325; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"276","SN 1964L","11:52:49.099","+44:07:45.41","SN Ic","","NGC 3938        ","","","","","","","","","0","1","","13.3","","1964-12-11 00:00:00.000","","[Discoverer=Wild; DiscoveryRef=IAUC 1882; PositionRef=PASP 105, 1250; Orig Type=Ic   ]",""
"277"," 1964M","10:27:13.099","+20:29:26.70","","","Anon.           ","","","","","","","","","0","1","","18","","1964-12-30 00:00:00.000","","[Discoverer=Zwicky; DiscoveryRef=IAUC 1898; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"278"," 1964N","02:26:30.400","+29:49:33.00","","","UGC 1903        ","","","","","","","","","0","1","","16","","1964-09-11 00:00:00.000","","[Discoverer=Kowal; DiscoveryRef=PASP 80, 462; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"279"," 1964O","15:08:52.500","+55:27:37.00","","","                ","","","","","","","","","0","1","","15","","","","[Discoverer=; DiscoveryRef=; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"280"," 1965A","12:26:20.700","+09:01:22.00","","","NGC 4410        ","","","","","","","","","0","1","","16","","1965-01-01 00:00:00.000","","[Discoverer=Chavira; DiscoveryRef=; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"281"," 1965B","12:50:57.300","-14:19:41.00","","","NGC 4727        ","","","","","","","","","0","1","","16","","1965-01-08 00:00:00.000","","[Discoverer=Chavira; DiscoveryRef=IAUC 1887; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"282"," 1965C","11:43:22.450","+18:32:34.40","","","Anon.           ","","","","","","","","","0","1","","18","","1965-01-28 00:00:00.000","","[Discoverer=Zwicky; DiscoveryRef=IAUC 1898; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"283"," 1965D","10:39:26.309","-27:54:16.70","","","Anon.           ","","","","","","","","","0","1","","14","","1965-02-26 00:00:00.000","","[Discoverer=Zwicky; DiscoveryRef=IAUC 1898; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"284"," 1965E","09:50:07.070","+34:24:54.61","","","Anon.           ","","","","","","","","","0","1","","16.4","","1965-03-26 00:00:00.000","","[Discoverer=Zwicky; DiscoveryRef=IAUC 1901; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
"285"," 1965F","16:10:37.970","+19:03:28.01","","","Anon.           ","","","","","","","","","0","1","","18","","1965-03-29 00:00:00.000","","[Discoverer=Zwicky; DiscoveryRef=IAUC 1905; PositionRef=PASP 105, 1250; Orig Type=Unknown]",""
