"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"71216","AT 2020aadz","04:32:57.570","+64:31:08.29","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fgy","Gaia - Gaia-photometric","","1","1","","18.61","G-Gaia","2020-11-15 23:57:07.200","Gaia_Bot1","",""
"71215","AT 2020aady","22:54:59.090","+62:34:34.75","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fgx","Gaia - Gaia-photometric","","1","1","","17.57","G-Gaia","2020-11-15 23:21:07.200","Gaia_Bot1","",""
"71214","AT 2020aadx","08:52:42.650","-33:59:03.16","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fgw","Gaia - Gaia-photometric","","1","1","","17.65","G-Gaia","2020-11-15 23:55:40.800","Gaia_Bot1","",""
"71213","AT 2020aadw","14:26:59.690","-67:41:13.34","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fgv","Gaia - Gaia-photometric","","1","1","","18.56","G-Gaia","2020-11-15 06:46:04.800","Gaia_Bot1","",""
"71212","AT 2020aadv","14:34:52.950","-69:05:23.28","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fgu","Gaia - Gaia-photometric","","1","1","","18.36","G-Gaia","2020-11-15 18:47:31.200","Gaia_Bot1","",""
"71211","AT 2020aadu","10:15:07.220","-57:37:35.36","","","","","GaiaAlerts","GaiaAlerts","","GaiaAlerts","Gaia20fgs","Gaia - Gaia-photometric","","1","1","","18.47","G-Gaia","2020-11-16 00:20:09.600","Gaia_Bot1","",""
"71210","AT 2020aadt","12:29:24.477","+63:50:41.29","","","","","ZTF","ZTF","","ZTF","ZTF20acphjgl","P48 - ZTF-Cam","","1","1","","19.88","g-ZTF","2020-11-10 11:41:54.816","ZTF_AMPEL_COMPLETE","",""
"71209","AT 2020aads","11:24:08.704","+06:12:53.43","","","","","ZTF","ZTF","","ZTF","ZTF20acodsyb","P48 - ZTF-Cam","","1","1","","18.62","g-ZTF","2020-11-12 12:45:30.240","ZTF_AMPEL_COMPLETE","",""
"71208","AT 2020aadr","12:00:49.213","+43:21:56.86","","","","","ZTF","ZTF","","ZTF","ZTF18aakdnsh","P48 - ZTF-Cam","","1","1","","19.37","r-ZTF","2020-11-12 11:22:14.592","ZTF_AMPEL_COMPLETE","",""
"71207","AT 2020aadq","12:19:17.436","+46:22:20.81","","","","","ZTF, Fink","ZTF","","ZTF","ZTF20acqvgav","P48 - ZTF-Cam","","1","1","","20.25","g-ZTF","2020-11-12 12:41:25.728","ZTF_AMPEL_COMPLETE","",""
"71206","AT 2020aadp","09:05:30.378","+06:18:48.15","","","","","ZTF, ATLAS, Pan-STARRS1","ZTF, ATLAS, Pan-STARRS1","","ATLAS; Pan-STARRS1; ZTF","ZTF20acpypow","ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1","","1","1","","19.79","r-ZTF","2020-11-12 11:58:12.864","ZTF_AMPEL_COMPLETE","",""
"71205","AT 2020aado","11:29:17.842","+34:13:10.35","","","","","ZTF, Fink","ZTF","","ZTF","ZTF20acpxvdg","P48 - ZTF-Cam","","1","1","","20.03","r-ZTF","2020-11-12 11:24:57.024","ZTF_AMPEL_COMPLETE","",""
"71204","AT 2020aadn","11:21:27.585","+50:47:54.38","","","","","ZTF, Pan-STARRS1","ZTF, Pan-STARRS1","","Pan-STARRS1; ZTF","ZTF20acpwimx","P48 - ZTF-Cam, PS1 - GPC1","","1","1","","19.23","g-ZTF","2020-11-12 12:21:42.048","ZTF_AMPEL_COMPLETE","",""
"71203","AT 2020aadm","01:51:40.051","+29:20:47.04","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20lim","PS1 - GPC1","","1","1","","20.46","i-Sloan","2020-11-07 09:23:02.400","PS1_Bot1","",""
"71202","AT 2020aadl","00:01:49.674","-22:33:55.87","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20lil","PS1 - GPC1","","1","1","","21.01","w-PS1","2020-11-08 06:53:16.800","PS1_Bot1","",""
"71201","AT 2020aadk","02:48:02.064","+30:42:47.04","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20lii","PS1 - GPC1","","1","1","","19.47","i-Sloan","2020-10-24 09:30:14.400","PS1_Bot1","",""
