"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"101"," 1953J","00:44:55.661","+16:56:10.79","","","UGC 472         ","","","","","","","","","0","1","","17.5","","1953-12-31 00:00:00.000","","[Discoverer=Mueller; DiscoveryRef=IAUC 5140; PositionRef=IAUC 6510; Orig Type=Unknown]",""
"102"," 1953K","15:13:11.500","-18:08:20.00","","","IC 4536         ","","","","","","","","","0","1","","16","","1953-05-18 00:00:00.000","","[Discoverer=Fesen; DiscoveryRef=IAUC 5252; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"103"," 1953L","05:15:46.519","+71:27:41.62","","","UGC 3267        ","","","","","","","","","0","1","","15","","1953-10-14 00:00:00.000","","[Discoverer=Mueller; DiscoveryRef=IAUC 5466; PositionRef=IAUC 6510; Orig Type=Unknown]",""
"104","SN 1954A","12:15:45.800","+36:16:14.00","SN Ib","","NGC 4214        ","","","","","","","","","0","1","","9.8","","1954-04-10 00:00:00.000","","[Discoverer=Wild; DiscoveryRef=IAUC 1453; PositionRef=; Orig Type=Ib   ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"105"," 1954aa","12:08:49.700","-09:02:18.00","","","NGC 4129        ","","","","","","","","","0","1","","19.9","","1954-04-02 00:00:00.000","","[Discoverer=Zwicky; DiscoveryRef=PASP 86, 516; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"106"," 1954ab","11:58:12.100","-05:55:36.00","","","Anon.           ","","","","","","","","","0","1","","17.5","","1954-04-02 00:00:00.000","","[Discoverer=Zwicky; DiscoveryRef=PASP 86, 516; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"107"," 1954ac","00:43:50.779","+32:50:32.89","","","UGC 465         ","","","","","","","","","0","1","","18","","1954-10-04 00:00:00.000","","[Discoverer=Mueller; DiscoveryRef=IAUC 5140; PositionRef=IAUC 6510; Orig Type=Unknown]",""
"108"," 1954ad","08:32:46.370","+00:13:33.71","","","UGC 4467        ","","","","","","","","","0","1","","17.5","","1954-12-21 00:00:00.000","","[Discoverer=Mueller; DiscoveryRef=IAUC 5175; PositionRef=IAUC 6510; Orig Type=Unknown]",""
"109","SN 1954B","14:33:24.100","+04:26:42.00","SN Ia","","NGC 5668        ","","","","","","","","","0","1","","12.3","","1954-04-27 00:00:00.000","","[Discoverer=Wild; DiscoveryRef=IAUC 1449; PositionRef=; Orig Type=Ia   ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"110"," 1954C","15:09:45.500","+57:00:03.00","","","NGC 5879        ","","","","","","","","","0","1","","14.9","","1954-09-27 00:00:00.000","","[Discoverer=Wild; DiscoveryRef=IAUC 1476; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
