"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"4601","SN 2008ab","11:34:45.919","+53:57:50.80","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.2","","2008-01-30 00:00:00.000","","[Discoverer=Yuan et al. (ROTSE); DiscoveryRef=CBET 1245; PositionRef=CBET 1245; Orig Type=Ia   ]",""
"4602","SN 2008ac","11:53:45.180","+48:25:21.50","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.6","","2008-01-30 00:00:00.000","","[Discoverer=Yuan et al. (ROTSE); DiscoveryRef=CBET 1245; PositionRef=CBET 1245; Orig Type=Ia   ]",""
"4603","SN 2008ad","12:49:37.150","+28:19:46.49","SN Ia","","Anon.           ","","","","","","","","","0","1","","18","","2008-01-30 00:00:00.000","","[Discoverer=Yuan et al. (ROTSE); DiscoveryRef=CBET 1245; PositionRef=CBET 1245; Orig Type=Ia   ]",""
"4604","SN 2008ae","09:56:03.199","+10:29:58.81","SN Ia-pec","","IC 577          ","","","","","","","","","0","1","","17.8","","2008-02-09 00:00:00.000","","[Discoverer=Sostero, Puckett; DiscoveryRef=CBET 1247; PositionRef=CBET 1247; Orig Type=Ia-p ]",""
"4605","SN 2008af","14:59:28.500","+16:39:12.31","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.1","","2008-02-09 00:00:00.000","","[Discoverer=Boles; DiscoveryRef=CBET 1248; PositionRef=CBET 1248; Orig Type=Ia   ]",""
"4606","SN 2008ag","18:39:52.380","-67:25:59.02","SN IIP","","IC 4729         ","","","","","","","","","0","1","","16.7","","2008-02-03 00:00:00.000","","[Discoverer=Monard; DiscoveryRef=CBET 1252; PositionRef=CBET 1252; Orig Type=II-P ]",""
"4607","SN 2008ah","10:51:48.449","+03:46:35.69","SN Ia","","Anon.           ","","","","","","","","","0","1","","18.8","","2008-02-11 00:00:00.000","","[Discoverer=Mostardi, Li, Filippenko (LOSS); DiscoveryRef=CBET 1255; PositionRef=CBET 1255; Orig Type=Ia   ]",""
"4608","SN 2008ai","10:57:39.970","+37:39:41.90","SN Ia","","MCG +06-24-39   ","","","","","","","","","0","1","","17.7","","2008-02-13 00:00:00.000","","[Discoverer=Boles; DiscoveryRef=CBET 1256; PositionRef=CBET 1256; Orig Type=Ia   ]",""
"4609","SN 2008aj","13:33:06.331","+33:08:58.99","SN IIn","","MCG +06-30-34   ","","","","","","","","","0","1","","16.9","","2008-02-13 00:00:00.000","","[Discoverer=Boles; DiscoveryRef=CBET 1259; PositionRef=CBET 1259; Orig Type=IIn  ]",""
"4610","SN 2008ak","03:09:25.200","+80:07:48.40","SN II","","UGC 2519        ","","","","","","","","","0","1","","18.5","","2008-02-12 00:00:00.000","","[Discoverer=Boles; Londero; DiscoveryRef=CBET 1260; PositionRef=CBET 1260; Orig Type=II   ]",""
