"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"73782","AT 2020aduk","03:32:01.052","-16:48:42.45","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20mvm","PS1 - GPC1","","1","1","","21.25","w-PS1","2020-12-07 08:49:55.200","PS1_Bot1","","TESS-active sector/s (30,31);TESS-Sector31"
"73781","AT 2020aduj","00:17:36.136","+13:15:13.23","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20mvk","PS1 - GPC1","","1","1","","21.51","w-PS1","2020-12-08 07:12:00.000","PS1_Bot1","",""
"73780","AT 2020adui","22:48:57.217","-03:43:30.93","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20mvj","PS1 - GPC1","","1","1","","21.26","w-PS1","2020-12-06 05:29:45.600","PS1_Bot1","",""
"73779","AT 2020aduh","10:43:29.044","+49:30:54.52","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20mvi","PS1 - GPC1","","1","1","","20.36","i-Sloan","2020-12-02 13:30:43.200","PS1_Bot1","",""
"73778","AT 2020adug","03:04:44.889","-10:42:09.75","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20mvh","PS1 - GPC1","","1","1","","21.26","w-PS1","2020-12-07 08:41:16.800","PS1_Bot1","","TESS-active sector/s (30,31);TESS-Sector31"
"73777","AT 2020aduf","22:53:21.949","-03:55:30.07","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20mvg","PS1 - GPC1","","1","1","","21.64","w-PS1","2020-12-06 05:31:12.000","PS1_Bot1","",""
"73776","AT 2020adue","22:25:52.541","-01:44:11.17","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20mvf","PS1 - GPC1","","1","1","","20.54","w-PS1","2020-12-06 05:25:26.400","PS1_Bot1","",""
"73775","AT 2020adud","00:44:50.717","+34:15:32.99","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20mve","PS1 - GPC1","","1","1","","20.19","i-Sloan","2020-11-28 08:39:50.400","PS1_Bot1","",""
"73774","AT 2020aduc","21:43:02.256","-12:09:47.64","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20mvc","PS1 - GPC1","","1","1","","21.11","w-PS1","2020-12-03 05:09:36.000","PS1_Bot1","",""
"73773","AT 2020adub","01:32:41.119","-11:57:36.82","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20mvb","PS1 - GPC1","","1","1","","21.89","w-PS1","2020-12-06 06:56:09.600","PS1_Bot1","","TESS-active sector/s (30,31);TESS-Sector31;TESS-Sector30"
"73772","AT 2020adua","02:02:10.516","-13:56:24.09","","","","","Pan-STARRS1","Pan-STARRS1","","Pan-STARRS1","PS20mva","PS1 - GPC1","","1","1","","21.57","w-PS1","2020-12-06 06:43:12.000","PS1_Bot1","","TESS-active sector/s (30,31);TESS-Sector31;TESS-Sector30"
