"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"2451","SN 2002jx","00:26:54.130","+00:22:49.69","SN II","","Anon.           ","","","","","","","","","0","1","","23.5","","2002-12-06 00:00:00.000","","[Discoverer=ESSENCE; DiscoveryRef=IAUC 8034; PositionRef=IAUC 8034; Orig Type=II   ]",""
"2452","SN 2002jy","01:21:16.270","+40:29:55.28","SN Ia","","NGC 477         ","","","","","","","","","0","1","","16.3","","2002-12-17 00:00:00.000","","[Discoverer=Arbour; Vanmunster; DiscoveryRef=IAUC 8035; PositionRef=IAUC 8035; Orig Type=Ia   ]",""
"2453","SN 2002jz","04:13:12.521","+13:25:07.28","SN Ic","","UGC 2984        ","","","","","","","","","0","1","","15.9","","2002-12-23 00:00:00.000","","[Discoverer=Puckett, Tigner; DiscoveryRef=IAUC 8037; PositionRef=IAUC 8037; Orig Type=Ic?  ]",""
"2454"," 2002K","02:26:50.479","+00:43:30.11","","","Anon.           ","","","","","","","","","0","1","","24","","2002-01-09 00:00:00.000","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 7801; PositionRef=IAUC 7801; Orig Type=Unknown]",""
"2455","SN 2002ka","09:30:41.621","-14:46:55.31","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.5","","2002-12-28 00:00:00.000","","[Discoverer=Madore; DiscoveryRef=IAUC 8038; PositionRef=IAUC 8038; Orig Type=Ia   ]",""
"2456"," 2002kb","03:32:42.420","-27:50:25.40","","","Anon.           ","","","","","","","","","0","1","","24.2","","2002-07-31 00:00:00.000","","[Discoverer=GOODS Treasury Team, Hubble Higher-z Supernova Team; DiscoveryRef=IAUC 8038; PositionRef=IAUC 8038; Orig Type=Unknown]",""
"2457"," 2002kc","03:32:34.721","-27:39:58.28","","","Anon.           ","","","","","","","","","0","1","","21.7","","2002-12-21 00:00:00.000","","[Discoverer=GOODS Treasury Team, Hubble Higher-z Supernova Team; DiscoveryRef=IAUC 8038; PositionRef=IAUC 8038; Orig Type=Unknown]",""
"2458"," 2002kd","03:32:22.339","-27:44:26.92","","","Anon.           ","","","","","","","","","0","1","","23.8","","2002-12-21 00:00:00.000","","[Discoverer=GOODS Treasury Team, Hubble Higher-z Supernova Team; DiscoveryRef=IAUC 8038; PositionRef=IAUC 8038; Orig Type=Unknown]",""
"2459"," 2002ke","03:31:58.771","-27:45:00.68","","","Anon.           ","","","","","","","","","0","1","","25.7","","2002-12-21 00:00:00.000","","[Discoverer=GOODS Treasury Team, Hubble Higher-z Supernova Team; DiscoveryRef=IAUC 8038; PositionRef=IAUC 8038; Orig Type=Unknown]",""
"2460","SN 2002kf","06:37:15.310","+49:51:10.19","SN Ia","","Anon.           ","","","","","","","","","0","1","","15.9","","2002-12-27 00:00:00.000","","[Discoverer=Brady; DiscoveryRef=IAUC 8040; PositionRef=IAUC 8040; Orig Type=Ia   ]",""
"2461","SN 2002kg","07:37:01.831","+65:34:29.32","SN IIn","","NGC 2403        ","","","","","","","","","0","1","","19","","2002-10-26 00:00:00.000","","[Discoverer=LOTOSS; DiscoveryRef=IAUC 8051; PositionRef=IAUC 8051; Orig Type=IIn  ]",""
"2462"," 2002kh","12:36:16.781","+62:14:37.72","","","Anon.           ","","","","","","","","","0","1","","25.1","","2002-11-22 00:00:00.000","","[Discoverer=GOODS Treasury Team, Hubble Higher-z Supernova Team; DiscoveryRef=IAUC 8052; PositionRef=IAUC 8052; Orig Type=Unknown]",""
"2463"," 2002ki","12:37:28.351","+62:20:39.98","","","Anon.           ","","","","","","","","","0","1","","24.2","","2002-11-22 00:00:00.000","","[Discoverer=GOODS Treasury Team, Hubble Higher-z Supernova Team; DiscoveryRef=IAUC 8052; PositionRef=IAUC 8052; Orig Type=Unknown]",""
"2464"," 2002kj","00:35:24.730","+03:59:11.40","","","Anon.           ","","","","","","","","","0","1","","18.5","","2002-12-01 00:00:00.000","","[Discoverer=NEAT/Wood-Vasey et al.; DiscoveryRef=IAUC 8053; PositionRef=IAUC 8053; Orig Type=Unknown]",""
"2465","SN 2002kk","21:58:58.649","-00:08:23.50","SN Ia","","Anon.           ","","","","","","","","","0","1","","19.4","","2002-08-15 00:00:00.000","","[Discoverer=NEAT/Wood-Vasey et al.; DiscoveryRef=IAUC 8066; PositionRef=IAUC 8066; Orig Type=Ia   ]",""
"2466"," 2002kl","12:37:49.301","+62:14:06.11","","","Anon.           ","","","","","","","","","0","1","","24.8","","2002-11-21 00:00:00.000","","[Discoverer=GOODS Treasury Team, Hubble Higher-z Supernova Team; DiscoveryRef=IAUC 8083; PositionRef=IAUC 8083; Orig Type=Unknown]",""
"2467","SN 2002km","02:16:23.930","-04:49:29.39","SN Ia","","Anon.           ","","","","","","","","","0","1","","24.5","","2002-11-03 00:00:00.000","","[Discoverer=Supernova Cosmology Project and Subaru high-redshift supernova search group; DiscoveryRef=IAUC 8119; PositionRef=IAUC 8119; Orig Type=Ia   ]",""
"2468","SN 2002kn","02:16:45.710","-05:09:51.19","SN Ia","","Anon.           ","","","","","","","","","0","1","","25","","2002-11-03 00:00:00.000","","[Discoverer=Supernova Cosmology Project and Subaru high-redshift supernova search group; DiscoveryRef=IAUC 8119; PositionRef=IAUC 8119; Orig Type=Ia   ]",""
"2469","SN 2002ko","02:17:00.050","-04:58:19.60","SN Ia","","Anon.           ","","","","","","","","","0","1","","23.4","","2002-11-03 00:00:00.000","","[Discoverer=Supernova Cosmology Project and Subaru high-redshift supernova search group; DiscoveryRef=IAUC 8119; PositionRef=IAUC 8119; Orig Type=Ia   ]",""
"2470"," 2002kp","02:17:08.630","-05:02:06.40","","","Anon.           ","","","","","","","","","0","1","","23.8","","2002-11-03 00:00:00.000","","[Discoverer=Supernova Cosmology Project and Subaru high-redshift supernova search group; DiscoveryRef=IAUC 8119; PositionRef=IAUC 8119; Orig Type=Unknown]",""
"2471"," 2002kq","02:17:12.240","-04:55:08.69","","","Anon.           ","","","","","","","","","0","1","","24.4","","2002-11-03 00:00:00.000","","[Discoverer=Supernova Cosmology Project and Subaru high-redshift supernova search group; DiscoveryRef=IAUC 8119; PositionRef=IAUC 8119; Orig Type=Unknown]",""
"2472","SN 2002kr","02:17:34.510","-04:53:46.61","SN Ia","","Anon.           ","","","","","","","","","0","1","","24.5","","2002-11-03 00:00:00.000","","[Discoverer=Supernova Cosmology Project and Subaru high-redshift supernova search group; DiscoveryRef=IAUC 8119; PositionRef=IAUC 8119; Orig Type=Ia   ]",""
"2473"," 2002ks","02:17:34.531","-05:00:15.41","","","Anon.           ","","","","","","","","","0","1","","25.2","","2002-11-03 00:00:00.000","","[Discoverer=Supernova Cosmology Project and Subaru high-redshift supernova search group; DiscoveryRef=IAUC 8119; PositionRef=IAUC 8119; Orig Type=Unknown]",""
"2474"," 2002kt","02:17:38.081","-05:08:46.79","","","Anon.           ","","","","","","","","","0","1","","24.5","","2002-11-03 00:00:00.000","","[Discoverer=Supernova Cosmology Project and Subaru high-redshift supernova search group; DiscoveryRef=IAUC 8119; PositionRef=IAUC 8119; Orig Type=Unknown]",""
"2475"," 2002ku","02:17:42.540","-05:06:33.98","","","Anon.           ","","","","","","","","","0","1","","24.8","","2002-11-03 00:00:00.000","","[Discoverer=Supernova Cosmology Project and Subaru high-redshift supernova search group; DiscoveryRef=IAUC 8119; PositionRef=IAUC 8119; Orig Type=Unknown]",""
"2476"," 2002kv","02:17:43.301","-04:30:56.70","","","Anon.           ","","","","","","","","","0","1","","24.6","","2002-11-03 00:00:00.000","","[Discoverer=Supernova Cosmology Project and Subaru high-redshift supernova search group; DiscoveryRef=IAUC 8119; PositionRef=IAUC 8119; Orig Type=Unknown]",""
"2477"," 2002kw","02:18:35.150","-04:26:38.90","","","Anon.           ","","","","","","","","","0","1","","25.1","","2002-11-03 00:00:00.000","","[Discoverer=Supernova Cosmology Project and Subaru high-redshift supernova search group; DiscoveryRef=IAUC 8119; PositionRef=IAUC 8119; Orig Type=Unknown]",""
"2478"," 2002kx","02:18:40.730","-05:03:44.32","","","Anon.           ","","","","","","","","","0","1","","25.3","","2002-11-03 00:00:00.000","","[Discoverer=Supernova Cosmology Project and Subaru high-redshift supernova search group; DiscoveryRef=IAUC 8119; PositionRef=IAUC 8119; Orig Type=Unknown]",""
"2479"," 2002ky","02:18:53.201","-04:32:59.21","","","Anon.           ","","","","","","","","","0","1","","23.7","","2002-11-03 00:00:00.000","","[Discoverer=Supernova Cosmology Project and Subaru high-redshift supernova search group; DiscoveryRef=IAUC 8119; PositionRef=IAUC 8119; Orig Type=Unknown]",""
"2480"," 2002kz","02:16:56.371","-05:00:57.38","","","Anon.           ","","","","","","","","","0","1","","24.9","","2002-11-03 00:00:00.000","","[Discoverer=Supernova Cosmology Project and Subaru high-redshift supernova search group; DiscoveryRef=IAUC 8121; PositionRef=IAUC 8120; Orig Type=Unknown]",""
