"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"1451"," 1998er","05:50:16.870","-71:14:13.49","","","Anon.           ","","","","","","","","","0","1","","18.6","","1998-11-03 00:00:00","","[Discoverer=MACHO; DiscoveryRef=IAUC 7046; PositionRef=IAUC 7046; Orig Type=Unknown]",""
"1452","SN 1998es","01:37:17.501","+05:52:50.30","SN Ia","","NGC 632         ","","","","","","","","","0","1","","14.6","","1998-11-13 00:00:00","","[Discoverer=Lick Observatory Supernova Search; DiscoveryRef=IAUC 7050; PositionRef=IAUC 7050; Orig Type=Ia   ]",""
"1453","SN 1998et","06:59:18.701","+57:44:40.99","SN II","","Anon.           ","","","","","","","","","0","1","","18","","1998-11-17 00:00:00","","[Discoverer=Mueller; DiscoveryRef=IAUC 7054; PositionRef=IAUC 7054; Orig Type=II   ]",""
"1454"," 1998eu","00:59:58.661","+14:18:00.40","","","Anon.           ","","","","","","","","","0","1","","19.7","","1998-11-14 00:00:00","","[Discoverer=Wise Observatory Optical Transients Search; DiscoveryRef=IAUC 7055; PositionRef=IAUC 7055; Orig Type=Unknown]",""
"1455"," 1998ev","01:04:12.679","+25:00:59.11","","","Anon.           ","","","","","","","","","0","1","","0","","","","[Discoverer=Wise Observatory Optical Transients Search; not variable; DiscoveryRef=IAUC 7055; PositionRef=IAUC 7055; Orig Type=Unknown]",""
"1456","SN 1998ew","20:44:32.100","-68:43:36.98","SN II","","NGC 6943        ","","","","","","","","","0","1","","14","","1998-11-23 00:00:00","","[Discoverer=Antezana; DiscoveryRef=IAUC 7061; PositionRef=IAUC 7061; Orig Type=II   ]",""
"1457"," 1998ex","07:41:42.281","+64:44:02.29","","","MCG +11-10-16   ","","","","","","","","","0","1","","18.5","","1998-11-25 00:00:00","","[Discoverer=Mueller; DiscoveryRef=IAUC 7061; PositionRef=IAUC 7061; Orig Type=Unknown]",""
"1458"," 1998ey","21:30:00.559","+26:43:24.20","","","NGC 7080        ","","","","","","","","","0","1","","17","","1998-12-05 00:00:00","","[Discoverer=Arbour; DiscoveryRef=IAUC 7065; PositionRef=IAUC 7065; Orig Type=Unknown]",""
"1459","SN 1998ez","03:57:32.930","-27:12:13.61","SN II","","Anon.           ","","","","","","","","","0","1","","20","","1998-12-08 00:00:00","","[Discoverer=Mount Stromlo Abell Cluster Supernova Search Team; DiscoveryRef=IAUC 7070; PositionRef=IAUC 7070; Orig Type=II   ]",""
"1460"," 1998F","04:16:50.131","-05:44:59.60","","","Anon.           ","","","","","","","","","0","1","","24.5","","1998-01-23 00:00:00","","[Discoverer=High-Z Supernova Search Team; DiscoveryRef=IAUC 6819; PositionRef=IAUC 6819; Orig Type=Unknown]",""
