"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"411"," 1972H","10:17:00.400","+73:24:39.00","","","NGC 3147        ","","","","","","","","","0","1","","14.9","","1972-08-08 00:00:00","","[Discoverer=Goranskij; DiscoveryRef=IAUC 2431; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"412"," 1972I","23:14:59.000","+14:59:28.00","","","MCG +2-59-12","","","","","","","","","0","1","","17.5","","1972-07-14 00:00:00","","[Discoverer=Kowal; DiscoveryRef=PASP 85, 427; PositionRef=PASP 85, 427; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"413","SN 1972J","23:21:41.800","+08:52:27.00","SN I","","NGC 7634        ","","","","","","","","","0","1","","14.3","","1972-08-13 00:00:00","","[Discoverer=Pigatto; DiscoveryRef=IAUC 2437; PositionRef=; Orig Type=I    ]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"414"," 1972K","01:08:57.800","+32:13:27.00","","","Anon.           ","","","","","","","","","0","1","","16","","1972-09-01 00:00:00","","[Discoverer=Huchra; DiscoveryRef=IAUC 2447; PositionRef=PASP 85, 427; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"415"," 1972L","01:56:40.600","+34:10:14.00","","","NGC 735         ","","","","","","","","","0","1","","15","","1972-09-03 00:00:00","","[Discoverer=Huchra; DiscoveryRef=IAUC 2448; PositionRef=PASP 85, 427; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"416"," 1972M","23:15:38.300","+07:17:16.00","","","NGC 7564        ","","","","","","","","","0","1","","18","","1972-10-08 00:00:00","","[Discoverer=Kowal; DiscoveryRef=PASP 85, 427; PositionRef=PASP 85, 427; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"417"," 1972N","00:28:17.200","+30:48:57.00","","","UGC 279         ","","","","","","","","","0","1","","17","","1972-10-08 00:00:00","","[Discoverer=Kowal; DiscoveryRef=PASP 85, 427; PositionRef=PASP 85, 427; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"418"," 1972O","05:19:04.500","+05:59:59.00","","","Anon.           ","","","","","","","","","0","1","","18.5","","1972-10-08 00:00:00","","[Discoverer=Kowal; DiscoveryRef=PASP 85, 427; PositionRef=PASP 85, 427; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"419"," 1972P","01:19:25.000","+00:32:20.00","","","Anon.           ","","","","","","","","","0","1","","18","","1972-10-08 00:00:00","","[Discoverer=Kowal; DiscoveryRef=PASP 85, 427; PositionRef=PASP 85, 427; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
"420"," 1972Q","12:18:50.800","+14:26:40.00","","","NGC 4254        ","","","","","","","","","0","1","","15.8","","1972-12-14 00:00:00","","[Discoverer=Rosino; DiscoveryRef=IAUC 2472; PositionRef=; Orig Type=Unknown]  RA,DEC set on 2019-09-18 according to the data on http://www.rochesterastronomy.org",""
