"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"4501","SN 2007rp","22:13:43.579","+00:23:46.72","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.3","","2007-11-05 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1146; PositionRef=CBET 1146; Orig Type=Ia   ]",""
"4502","SN 2007rq","00:53:32.110","+00:54:01.01","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.4","","2007-11-07 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1146; PositionRef=CBET 1146; Orig Type=Ia   ]",""
"4503","SN 2007rr","01:01:47.801","-00:41:37.00","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.2","","2007-11-07 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1146; PositionRef=CBET 1146; Orig Type=Ia   ]",""
"4504","SN 2007rs","00:46:27.401","-01:03:44.10","SN Ia","","Anon.           ","","","","","","","","","0","1","","22.5","","2007-11-11 00:00:00.000","","[Discoverer=Sloan Digital Sky Survey II; DiscoveryRef=CBET 1146; PositionRef=CBET 1146; Orig Type=Ia   ]",""
"4505","SN 2007rt","11:02:34.291","+50:34:58.51","SN IIn","","UGC 6109        ","","","","","","","","","0","1","","16.8","","2007-11-24 00:00:00.000","","[Discoverer=Li (LOSS); DiscoveryRef=CBET 1148; PositionRef=CBET 1148; Orig Type=IIn  ]",""
"4506","SN 2007ru","23:07:23.141","+43:35:33.68","SN Ic-pec","","UGC 12381       ","","","","","","","","","0","1","","17.5","","2007-11-27 00:00:00.000","","[Discoverer=Donati, Ciabattari; DiscoveryRef=CBET 1149; PositionRef=CBET 1149; Orig Type=Ic-p ]",""
"4507","SN 2007rv","01:49:52.860","-27:28:04.12","SN Ia","","NGC 689         ","","","","","","","","","0","1","","15.9","","2007-11-07 00:00:00.000","","[Discoverer=Tan; DiscoveryRef=CBET 1152; PositionRef=CBET 1152; Orig Type=Ia   ]",""
"4508","SN 2007rw","12:38:03.641","-02:15:40.10","SN IIb","","UGC 7798        ","","","","","","","","","0","1","","14.3","","2007-11-29 00:00:00.000","","[Discoverer=Madison, Li (LOSS); DiscoveryRef=CBET 1154; PositionRef=CBET 1154; Orig Type=IIb  ]",""
"4509","SN 2007rx","23:40:11.741","+27:25:16.50","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.2","","2007-11-28 00:00:00.000","","[Discoverer=Yuan et al. (ROTSE); DiscoveryRef=CBET 1157; PositionRef=CBET 1157; Orig Type=Ia   ]",""
"4510","SN 2007ry","03:25:43.159","+41:14:41.60","SN Ia","","Anon.           ","","","","","","","","","0","1","","17.9","","2007-12-08 00:00:00.000","","[Discoverer=Parisky, Li (LOSS); DiscoveryRef=CBET 1158; PositionRef=CBET 1158; Orig Type=Ia   ]",""
"4511","SN 2007rz","04:31:10.841","+07:37:51.49","SN Ic","","NGC 1590        ","","","","","","","","","0","1","","16.9","","2007-12-08 00:00:00.000","","[Discoverer=Parisky, Li (LOSS); DiscoveryRef=CBET 1158; PositionRef=CBET 1158; Orig Type=Ic   ]",""
"4512","SN 2007S","10:00:31.260","+04:24:26.21","SN Ia","","UGC 5378        ","","","","","","","","","0","1","","16.7","","2007-01-29 00:00:00.000","","[Discoverer=Puckett, Gorelli; DiscoveryRef=CBET 825; PositionRef=IAUC 8804; Orig Type=Ia   ]",""
"4513","SN 2007sa","11:03:10.781","+56:13:26.29","SN Ia","","NGC 3499        ","","","","","","","","","0","1","","14.2","","2007-11-21 00:00:00.000","","[Discoverer=Mostardi, Li (LOSS); DiscoveryRef=CBET 1161; PositionRef=CBET 1161; Orig Type=Ia   ]",""
